probe_dimension,psychometric_scale,correlation,p_value,sample_size,abs_correlation,data_level,p_fdr_corrected,significant_fdr,significant_uncorrected
valence,selfother,0.09485721505926817,2.440916797705658e-06,2460,0.09485721505926817,probe,6.34638367403471e-06,True,True
PC3,self-esteem,0.38511340578822806,0.026886879660954006,33,0.38511340578822806,subject,0.07528326305067122,False,True
time_on_task_slope,onoff,0.3535369905194069,0.02163215731126793,42,0.3535369905194069,probe,0.27319116595679843,False,True
PC3,fne,-0.3344225697475911,0.057143076965934826,33,0.3344225697475911,subject,0.13333384625384795,False,False
PC2,age,-0.32245678157245317,0.06722261682932901,33,0.32245678157245317,subject,0.23527915890265153,False,False
PC1,self-esteem,0.31686546045866865,0.07238551163287163,33,0.31686546045866865,subject,0.11259968476224474,False,False
PC3,rrs_tot,-0.31590542150943757,0.07330221217831083,33,0.31590542150943757,subject,0.14660442435662166,False,False
tot_first_last_diff,confidence,0.31408776007305,0.04279803722757215,42,0.31408776007305,probe,0.1899210122538168,False,True
tot_first_last_diff,ctq_tot,-0.31300729505563785,0.07612432656822476,33,0.31300729505563785,subject,0.21314811439102935,False,False
tot_first_last_diff,bdi,-0.310056792637474,0.04851198290400778,41,0.310056792637474,subject,0.1899210122538168,False,True
time,self-esteem,0.30549412280827987,0.05209609854274752,41,0.30549412280827987,subject,0.09674989729367398,False,False
time_on_task_slope,bdi,-0.3046825623408847,0.05275534342393909,41,0.3046825623408847,subject,0.27319116595679843,False,False
PC2,fne,0.3032745487295381,0.08622154432695585,33,0.3032745487295381,subject,0.24142032411547637,False,False
tot_first_last_diff,rrs_tot,-0.30285655118755767,0.054263146358233365,41,0.30285655118755767,subject,0.1899210122538168,False,False
selfother,sris,0.29577657075645636,0.06043893143171894,41,0.29577657075645636,subject,0.19642652715308653,False,False
valence,ctq_tot,-0.2922628244052375,0.09885178211919318,33,0.2922628244052375,subject,0.11682483341359194,False,False
valence,a_rsq,-0.28977174163544855,0.06610450811717421,41,0.28977174163544855,subject,0.08593586055232647,False,False
confidence,age,0.28888999016449796,0.06352452248454936,42,0.28888999016449796,subject,0.07507443566355833,False,False
PC3,bdi,-0.28692522590437314,0.10545724892321555,33,0.28692522590437314,subject,0.18455018561562722,False,False
confidence,ctq_tot,-0.2716856478729855,0.12614824557782794,33,0.2716856478729855,subject,0.13666059937598027,False,False
PC1,sris,0.26855203945252526,0.13075154818891704,33,0.26855203945252526,subject,0.18305216746448386,False,False
time_on_task_slope,rrs_tot,-0.2653809030861969,0.09355509114957944,41,0.2653809030861969,subject,0.27319116595679843,False,False
time_on_task_slope,confidence,0.26391702455230537,0.09124795461311198,42,0.26391702455230537,probe,0.27319116595679843,False,False
PC2,ctq_tot,-0.26048375840255095,0.17233444814549778,29,0.26048375840255095,subject,0.40211371233949483,False,False
time_on_task_slope,time,0.2590761758912005,0.09756827355599944,42,0.2590761758912005,probe,0.27319116595679843,False,False
time,bdi,-0.2528549461366293,0.1107048207013464,41,0.2528549461366293,subject,0.17989533363968788,False,False
tot_first_last_diff,time,0.2506989750427163,0.10929395957053073,42,0.2506989750427163,probe,0.2454608323469709,False,False
tot_first_last_diff,self-esteem,0.24492718522184903,0.12273041617348544,41,0.24492718522184903,subject,0.2454608323469709,False,False
PC1,bdi,-0.24415585537637388,0.17090069642869898,33,0.24415585537637388,subject,0.21750997727288962,False,False
onoff,self-esteem,0.24010393848721806,0.13051159798272274,41,0.24010393848721806,subject,0.16966507737753955,False,False
time_on_task_slope,self-esteem,0.23765389829857297,0.13460227380075185,41,0.23765389829857297,subject,0.3140719722017543,False,False
PC3,mwq,-0.22843453495381877,0.20102255670182784,33,0.22843453495381877,subject,0.31270175486950996,False,False
time_on_task_slope,ctq_tot,-0.22818917715440407,0.2015200656129264,33,0.22818917715440407,subject,0.3526601148226212,False,False
selfother,self-esteem,-0.22549119879065627,0.15632851944286363,41,0.22549119879065627,subject,0.3387117921262045,False,False
PC3,ctq_tot,-0.2210165222809523,0.24924939649516045,29,0.2210165222809523,subject,0.3489491550932246,False,False
valence,age,0.22074407841550098,0.16007770372997443,42,0.22074407841550098,subject,0.17341751237413897,False,False
time_on_task_slope,fne,-0.21856761558653715,0.16978330110843515,41,0.21856761558653715,subject,0.3395666022168703,False,False
onoff,fne,-0.21394323090546472,0.17922263214731027,41,0.21394323090546472,subject,0.21180856526500305,False,False
onoff,ctq_tot,-0.20711011826770692,0.24748712582554203,33,0.20711011826770692,subject,0.2681110529776705,False,False
tot_first_last_diff,valence,0.1961832990549159,0.21306328126364704,42,0.1961832990549159,probe,0.3728607422113823,False,False
PC2,a_rsq,0.18968831018011822,0.2903760229993273,33,0.18968831018011822,subject,0.5807520459986546,False,False
confidence,sris,0.17085826073759341,0.28548818754483846,41,0.17085826073759341,subject,0.28548818754483846,False,False
tot_first_last_diff,mwq,-0.16384866170893975,0.30600683531664813,41,0.16384866170893975,subject,0.42919295143456215,False,False
selfother,age,-0.16014289261014292,0.3110214102446312,42,0.16014289261014292,subject,0.5776111904543151,False,False
tot_first_last_diff,fne,-0.1571486712186903,0.32647515933581694,41,0.1571486712186903,subject,0.42919295143456215,False,False
tot_first_last_diff,a_rsq,-0.15373557090558326,0.33722303327001313,41,0.15373557090558326,subject,0.42919295143456215,False,False
PC2,self-esteem,-0.13884926808427603,0.44093390295422386,33,0.13884926808427603,subject,0.6539962565329788,False,False
tot_first_last_diff,age,0.13447193486473932,0.3958569922572338,42,0.13447193486473932,subject,0.46183315763343946,False,False
PC2,mwq,0.1310855046281649,0.467140183237842,33,0.1310855046281649,subject,0.6539962565329788,False,False
time,fne,-0.12185878905865767,0.44786342682362534,41,0.12185878905865767,subject,0.5822224548707129,False,False
time_on_task_slope,valence,0.11968235961429383,0.45028341520779736,42,0.11968235961429383,probe,0.6780882541126867,False,False
time_on_task_slope,mwq,-0.10698427684835086,0.5055622695643478,41,0.10698427684835086,subject,0.6780882541126867,False,False
PC1,ctq_tot,0.10138146278735646,0.6007708264339047,29,0.10138146278735646,subject,0.7008992975062222,False,False
selfother,a_rsq,-0.10027879573734255,0.53274838847738,41,0.10027879573734255,subject,0.8451419000234512,False,False
time,sris,-0.09624691478068717,0.5494298812382193,41,0.09624691478068717,subject,0.649326223281532,False,False
PC2,rrs_tot,0.09368229741314354,0.604070443579279,33,0.09368229741314354,subject,0.7134281704722941,False,False
time_on_task_slope,age,0.09264598954446973,0.5595215434947469,42,0.09264598954446973,subject,0.6780882541126867,False,False
PC2,bdi,0.0917689249518095,0.6115098604048235,33,0.0917689249518095,subject,0.7134281704722941,False,False
time_on_task_slope,selfother,-0.08759419820111823,0.58121850352516,42,0.08759419820111823,probe,0.6780882541126867,False,False
selfother,fne,-0.08262815647123779,0.60753439111189,41,0.08262815647123779,subject,0.8451419000234512,False,False
onoff,sris,0.08107050126834789,0.6143444744651101,41,0.08107050126834789,subject,0.6143444744651101,False,False
tot_first_last_diff,sris,0.07715109539046935,0.6316211091901958,41,0.07715109539046935,subject,0.6802073483586724,False,False
time,age,0.07662979729343981,0.6295637995789891,42,0.07662979729343981,subject,0.6820274495439048,False,False
PC3,age,-0.0702811874729789,0.6975361561117163,33,0.0702811874729789,subject,0.8137921821303357,False,False
selfother,ctq_tot,0.06775411785009798,0.7079273416447549,33,0.06775411785009798,subject,0.8451419000234512,False,False
PC2,onoff,0.061500636455907316,0.06697668374623209,888,0.061500636455907316,probe,0.23527915890265153,False,False
selfother,rrs_tot,-0.05876977551069775,0.7151200692506126,41,0.05876977551069775,subject,0.8451419000234512,False,False
time,a_rsq,-0.04922889275461148,0.7598666987240669,41,0.04922889275461148,subject,0.7598666987240669,False,False
PC1,a_rsq,-0.04646110152429327,0.7973748052036994,33,0.04646110152429327,subject,0.858711328680907,False,False
tot_first_last_diff,selfother,-0.036384263228276426,0.8190580990200019,42,0.036384263228276426,probe,0.8190580990200019,False,False
PC1,age,0.03145919820219055,0.8620274415460045,33,0.03145919820219055,subject,0.8620274415460045,False,False
time,selfother,-0.028683314838388523,0.15496364256393155,2460,0.028683314838388523,probe,0.2238363725923456,False,False
selfother,time,-0.028683314838388523,0.15496364256393155,2460,0.028683314838388523,probe,0.3387117921262045,False,False
PC2,sris,-0.028110120017460587,0.8765971118987086,33,0.028110120017460587,subject,0.8765971118987086,False,False
PC3,a_rsq,-0.028077212431947014,0.8767404768692322,33,0.028077212431947014,subject,0.9441820520130192,False,False
PC2,confidence,0.027618940786773613,0.41106356783728926,888,0.027618940786773613,probe,0.6539962565329788,False,False
selfother,mwq,-0.02429871647372675,0.8801348775521832,41,0.02429871647372675,subject,0.9534794506815317,False,False
PC3,onoff,0.02140414241024406,0.5241224811889967,888,0.02140414241024406,probe,0.6670649760587232,False,False
time_on_task_slope,sris,0.012988714719337458,0.9357603372347714,41,0.012988714719337458,subject,0.9573166492341163,False,False
PC3,sris,-0.011043261435430945,0.9513636972438051,33,0.011043261435430945,subject,0.9513636972438051,False,False
valence,sris,0.010983745333131005,0.9456604332950242,41,0.010983745333131005,subject,0.9456604332950242,False,False
time_on_task_slope,a_rsq,-0.008625196158120688,0.9573166492341163,41,0.008625196158120688,subject,0.9573166492341163,False,False
selfother,bdi,0.005888010290406481,0.9708549737855398,41,0.005888010290406481,subject,0.9708549737855398,False,False
PC2,valence,0.005572014873915818,0.8683067056312859,888,0.005572014873915818,probe,0.8765971118987086,False,False
