probe_dimension,psychometric_scale,correlation,p_value,sample_size,abs_correlation,data_level,p_fdr_corrected,significant_fdr,significant_uncorrected
PC1,valence,0.7377582829285957,2.2906365984552607e-153,888,0.7377582829285957,probe,3.2068912378373653e-152,True,True
PC2,time,0.7073774248404665,1.1866269032707924e-135,888,0.7073774248404665,probe,1.6612776645791096e-134,True,True
valence,rrs_tot,-0.6786031582371951,1.081789421108653e-06,41,0.6786031582371951,subject,3.5158156186031217e-06,True,True
PC2,selfother,-0.6673415279124437,1.6047354042574992e-115,888,0.6673415279124437,probe,1.1233147829802495e-114,True,True
confidence,rrs_tot,-0.6347659705605676,8.298486639860488e-06,41,0.6347659705605676,subject,2.1576065263637266e-05,True,True
PC1,selfother,0.5799239141135176,6.221283703415949e-81,888,0.5799239141135176,probe,4.3548985923911646e-80,True,True
PC3,valence,0.5604809155301068,1.3524297249270992e-74,888,0.5604809155301068,probe,1.893401614897939e-73,True,True
valence,mwq,-0.554500206148642,0.00016862890592192692,41,0.554500206148642,subject,0.0003653626294975083,True,True
valence,self-esteem,0.5453089448441483,0.00022697189418545942,41,0.5453089448441483,subject,0.0004215192320587104,True,True
onoff,confidence,0.512455902695109,7.863303074913305e-165,2460,0.512455902695109,probe,1.0222293997387296e-163,True,True
confidence,onoff,0.512455902695109,7.863303074913305e-165,2460,0.512455902695109,probe,1.0222293997387296e-163,True,True
tot_first_last_diff,onoff,0.505490053492179,0.0006386509467313573,42,0.505490053492179,probe,0.008941113254239004,True,True
confidence,mwq,-0.5011828786343495,0.0008443940389635008,41,0.5011828786343495,subject,0.0018295204177542516,True,True
PC1,rrs_tot,-0.49706922026365613,0.0032523364877409806,33,0.49706922026365613,subject,0.007588785138062289,True,True
PC1,fne,-0.4878182001375728,0.003979786676201209,33,0.4878182001375728,subject,0.007959573352402417,True,True
PC1,time,0.48717098428245587,4.0982546866789555e-54,888,0.48717098428245587,probe,1.9125188537835127e-53,True,True
valence,time,0.483098522117204,4.656696871744848e-144,2460,0.483098522117204,probe,6.053705933268302e-143,True,True
time,valence,0.483098522117204,4.656696871744848e-144,2460,0.483098522117204,probe,6.053705933268302e-143,True,True
valence,confidence,0.4824551771150475,1.2617469761305869e-143,2460,0.4824551771150475,probe,8.201355344848815e-143,True,True
confidence,valence,0.4824551771150474,1.2617469761309463e-143,2460,0.4824551771150474,probe,8.20135534485115e-143,True,True
time,ctq_tot,-0.4726453778472193,0.005477125044763273,33,0.4726453778472193,subject,0.017800656395480636,True,True
onoff,rrs_tot,-0.4709441297610594,0.0018857324150397192,41,0.4709441297610594,subject,0.00490290427910327,True,True
valence,fne,-0.4573778207204103,0.002642617347680905,41,0.4573778207204103,subject,0.004294253189981471,True,True
onoff,mwq,-0.4419219801840376,0.0038189956295537494,41,0.4419219801840376,subject,0.00827449053069979,True,True
PC1,mwq,-0.4400847543342489,0.01038005301230371,33,0.4400847543342489,subject,0.018165092771531496,True,True
onoff,valence,0.4248249602472006,2.211752956730918e-108,2460,0.4248249602472006,probe,1.4376394218750965e-107,True,True
valence,onoff,0.4248249602472006,2.211752956730918e-108,2460,0.4248249602472006,probe,9.584262812500644e-108,True,True
confidence,bdi,-0.41927906112730334,0.006359114874958675,41,0.41927906112730334,subject,0.011809784767780397,True,True
PC3,selfother,-0.4170112147684143,1.1258873502484677e-38,888,0.4170112147684143,probe,7.881211451739274e-38,True,True
valence,bdi,-0.4099637015633767,0.007767604454156208,41,0.4099637015633767,subject,0.011219873100447857,True,True
time,rrs_tot,-0.3896784304793609,0.011787893274597555,41,0.3896784304793609,subject,0.03064852251395364,True,True
onoff,a_rsq,-0.38952779821169287,0.011823367585264996,41,0.38952779821169287,subject,0.02195768265834928,True,True
onoff,bdi,-0.37612961258119015,0.015364650969304249,41,0.37612961258119015,subject,0.0249675578251194,True,True
time,mwq,-0.36717859907330275,0.018199633771490146,41,0.36717859907330275,subject,0.03943253983822865,True,True
PC3,time,-0.36534311918141305,1.9914733573373946e-29,888,0.36534311918141305,probe,9.293542334241176e-29,True,True
confidence,self-esteem,0.35446831443575816,0.022971509822290053,41,0.35446831443575816,subject,0.036403753212145194,True,True
confidence,fne,-0.3492719222326979,0.02520259837763898,41,0.3492719222326979,subject,0.036403753212145194,True,True
onoff,age,0.34843653685945486,0.023736594181049276,42,0.34843653685945486,subject,0.034286191594848955,True,True
confidence,a_rsq,-0.32836731636320077,0.03607626485990975,41,0.32836731636320077,subject,0.046899144317882675,True,True
PC1,confidence,0.2965993536679491,1.7170922506555637e-19,888,0.2965993536679491,probe,6.009822877294473e-19,True,True
confidence,time,0.24830702826311163,6.946261514114099e-36,2460,0.24830702826311163,probe,3.0100466561161094e-35,True,True
time,confidence,0.2483070282631116,6.946261514114298e-36,2460,0.2483070282631116,probe,3.281243703837645e-35,True,True
onoff,time,0.24817516677423426,7.57210085500995e-36,2460,0.24817516677423426,probe,3.281243703837645e-35,True,True
time,onoff,0.24817516677423426,7.57210085500995e-36,2460,0.24817516677423426,probe,3.281243703837645e-35,True,True
PC1,onoff,-0.23241173027871315,2.3460768069905427e-12,888,0.23241173027871315,probe,6.569015059573519e-12,True,True
PC3,confidence,0.14007753816476398,2.801782280975599e-05,888,0.14007753816476398,probe,9.806237983414597e-05,True,True
selfother,confidence,0.12830319666301332,1.6938189881616224e-10,2460,0.12830319666301332,probe,1.1403819411009494e-09,True,True
confidence,selfother,0.12830319666301332,1.6938189881616224e-10,2460,0.12830319666301332,probe,5.504911711525273e-10,True,True
onoff,selfother,0.12819598751435293,1.7544337555398964e-10,2460,0.12819598751435293,probe,5.701909705504663e-10,True,True
selfother,onoff,0.1281959875143529,1.7544337555399223e-10,2460,0.1281959875143529,probe,1.1403819411009494e-09,True,True
selfother,valence,0.09485721505926818,2.440916797705645e-06,2460,0.09485721505926818,probe,1.0577306123391127e-05,True,True
