predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-3.91492063492064,3.745797694701007,-1.045150046533181,0.295953626660855,-11.256549209907774,3.4267079400664944,False,False
group_bdi3[T.Controls High BDI],0.05709750566893897,5.391123728071088,0.010591021195013107,0.9915497456827825,-10.509310837549702,10.623505848887579,False,False
group_bdi3[T.Risk of Depression],-3.6112532135460382,5.713889655216648,-0.6320131174127677,0.5273783058067452,-14.810271149406656,7.587764722314579,False,False
inclusion_exclusion[T.inclusion],6.505764266816925,4.051986223881109,1.6055741326251394,0.10836751278243227,-1.4359827978424997,14.447511331476349,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],1.3796669773558885,5.857289361720714,0.235547006841161,0.8137841987804341,-10.10040921864631,12.859743173358089,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],1.979139740379912,6.141871430973313,0.3222372468429015,0.7472729692150075,-10.058707062003267,14.01698654276309,False,False
probe_number,-0.0745238095238084,0.3128318499907996,-0.23822321648515055,0.8117079712304582,-0.6876629687228125,0.5386153496751956,False,False
group_bdi3[T.Controls High BDI]:probe_number,0.19008503401360471,0.45024193692243564,0.4221842045920995,0.6728905698091127,-0.6923729466839239,1.0725430147111334,False,False
group_bdi3[T.Risk of Depression]:probe_number,0.03751082251082204,0.48095151197536945,0.07799294019631452,0.937833668794589,-0.9051368192709865,0.9801584642926306,False,False
inclusion_exclusion[T.inclusion]:probe_number,-0.7343120594776682,0.44751630054004227,-1.6408610336462244,0.1008262653111654,-1.6114278910307538,0.1428037720754174,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,-0.061039225637293686,0.645467874221323,-0.09456586156348981,0.9246596668036007,-1.3261330122887163,1.204054561014129,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,0.190372665538273,0.6753155837922051,0.28190178060047666,0.7780188241656976,-1.1332215568930901,1.513966887969636,False,False
subject_id Var,0.21680755214725278,0.05841498739315136,3.711505588250312,0.00020603011849525615,0.10231628069931481,0.33129882359519075,True,True
