Group,Inclusion_Exclusion,N,Mean_Raw,SD_Raw,SE_Raw,Mean_Normalized,SD_Normalized,SE_Normalized
Controls,inclusion,104,62.5,20.746739128499673,2.034385147300746,-0.6719270593891035,14.346458175414861,1.4067859651419832
Controls,exclusion,130,60.3,20.12505476905254,1.7650840674190704,2.430007031879502,17.831987866052323,1.563968795810683
Risk of Depression,inclusion,105,55.23809523809524,15.036829024306526,1.467444254173536,4.864876362066339,16.1993321130927,1.5808929390884685
Risk of Depression,exclusion,104,40.72115384615385,18.260497303263932,1.7905890784086773,-9.371848410210479,15.175355740157801,1.4880660585534022
