thought_dim,beta_interaction,pval_interaction,significant_0.05
PC1,-0.2556952675079993,0.5607922025596049,False
valence,-5.381334573835652,0.47394847508546667,False
time,1.8798514712065295,0.8278964997735636,False
selfother,-7.910192915878941,0.3562270926798352,False
onoff,-1.3115271690679622,0.7762433239004629,False
confidence,12.194211123031106,0.011963998418685867,True
