thought_dim,mood_scale,a_base,a_base_se,a_int,a_int_se,b,b_se,c_base,c_base_se,c_int,c_int_se,ie_controls,ie_controls_ci_low,ie_controls_ci_high,ie_controls_sig,ie_risk,ie_risk_ci_low,ie_risk_ci_high,ie_risk_sig,index_mm,index_mm_ci_low,index_mm_ci_high,index_mm_sig
PC1,EVAaverage,-0.3184069980683766,0.25376413071772996,-0.2556952675079993,0.4395918107523635,0.2483225631541493,0.1806526315082521,0.055061832905199504,0.2818437852482893,0.23758410720265286,0.4855545346404866,-0.07902507539255532,-0.31870090704242204,0.0675091353535961,False,-0.14267318345969887,-0.5122700307739594,0.0845750919638485,False,-0.06364810806714354,-0.409017590140549,0.19482328295415935,False
PC1,EVAmood,-0.3184069980683766,0.25376413071772996,-0.2556952675079993,0.4395918107523635,0.0813612537933745,0.17256829160016576,-0.12781272067297517,0.3211464045389444,0.1891599665207457,0.544986080126824,-0.025774606640743894,-0.204326627140036,0.11041462258773596,False,-0.04664279192020769,-0.33519169060483633,0.18239350880654623,False,-0.020868185279463797,-0.25467089979101887,0.16182440689666366,False
PC1,EVAfeel,-0.3184069980683766,0.25376413071772996,-0.2556952675079993,0.4395918107523635,-0.14121892465078237,0.262439050475924,0.22223339281799734,0.40742301765940364,-0.1578192010045612,0.7009539827055085,0.04531914007543022,-0.15869486262617685,0.32072307500993225,False,0.08146921367684072,-0.26209864048864023,0.5256918599403463,False,0.03615007360141051,-0.24120504090918474,0.39974424429743194,False
PC1,EVAtense,-0.3184069980683766,0.25376413071772996,-0.2556952675079993,0.4395918107523635,0.7826498538586115,0.17672702902723467,0.05043828502730303,0.2637530195574976,-0.05579540203837507,0.4558607860700536,-0.24947373859911035,-0.7031545512168955,0.1415756194190531,False,-0.4500269342650748,-1.104288805873018,0.10808115317320018,False,-0.2005531956659644,-0.9382203131280665,0.4882166117989096,False
PC1,EVAhurt,-0.3184069980683766,0.25376413071772996,-0.2556952675079993,0.4395918107523635,0.40331296777567277,0.2668370442422097,0.19486879115733993,0.4254986837971546,1.0617579070883236,0.7407649979185871,-0.12837605843894923,-0.49529113410254305,0.0975472217118006,False,-0.23174675008788226,-0.7941596395652468,0.11189273321574121,False,-0.10337069164893305,-0.6359854749798431,0.3019122334905928,False
valence,EVAaverage,-6.742181746129415,4.33216540710348,-5.381334573835652,7.5151016132217405,0.010566352770220515,0.010425122895497735,0.04766511235580616,0.2889225931857058,0.24337586635698857,0.4945096187666718,-0.07121719830034105,-0.3052368741639677,0.08072309130903148,False,-0.1282395658107028,-0.5032089352359903,0.1315186247976495,False,-0.05702236751036176,-0.37139936177701643,0.15668618663920567,False
valence,EVAmood,-6.742181746129415,4.33216540710348,-5.381334573835652,7.5151016132217405,-0.002333825701166935,0.009502370178164764,-0.16740245234280124,0.32317748590269985,0.14944250660175076,0.5468643738879394,0.015875075443623547,-0.13898638354213802,0.1913288470127962,False,0.028394425054543707,-0.23586826002796843,0.3208708747055772,False,0.012519349610920159,-0.17280057482459166,0.22329875103890046,False
valence,EVAfeel,-6.742181746129415,4.33216540710348,-5.381334573835652,7.5151016132217405,0.005482555948870585,0.014823746119383202,0.30300830180004495,0.4164690123607853,-0.0961314620824345,0.7132026019781544,-0.036836704417770656,-0.32047748921597924,0.20045743783575204,False,-0.06648396839325946,-0.535076415937624,0.33623143930784727,False,-0.0296472639754888,-0.37939943355407246,0.24578134247777786,False
valence,EVAtense,-6.742181746129415,4.33216540710348,-5.381334573835652,7.5151016132217405,0.029802749589952587,0.01187579874334255,-0.0017476151347892543,0.32849948276182234,-0.016557067596446134,0.5620351813718418,-0.20108592054960653,-0.5749997641783752,0.051145384715036435,False,-0.361807490436392,-0.9261688260523405,0.016000764208283856,False,-0.16072156988678543,-0.7185634275321561,0.29946131206329357,False
valence,EVAhurt,-6.742181746129415,4.33216540710348,-5.381334573835652,7.5151016132217405,0.016856079958860917,0.015226133093108227,0.1804370062056778,0.43371216663492956,1.0632685088524134,0.7498801997427927,-0.11362721246253359,-0.4625003174309304,0.10811351701666826,False,-0.20458374638797244,-0.7612855491992429,0.172475433988583,False,-0.09095653392543886,-0.5642384362326324,0.2323982095982761,False
time,EVAaverage,-4.986406360449003,5.003314068830667,1.8798514712065295,8.646964180514978,0.0036449712053999187,0.009535797865808118,-0.003531112784645442,0.28427364333774413,0.18167129047367395,0.4917078806919844,-0.017972347773498227,-0.1887178811793951,0.11475072578093673,False,-0.010908160409528281,-0.19981851239643136,0.15010559569378404,False,0.007064187363969948,-0.18153940956541736,0.22026967468281494,False
time,EVAmood,-4.986406360449003,5.003314068830667,1.8798514712065295,8.646964180514978,0.002858594679385939,0.009253295638798942,-0.1382785210006965,0.319770801113973,0.15798667572623254,0.5427378876979437,-0.014049406810843226,-0.17597510355078333,0.1171287319220263,False,-0.008462750285137523,-0.1863401349476208,0.14842724405102736,False,0.005586656525705703,-0.17686540646433604,0.207195300213286,False
time,EVAfeel,-4.986406360449003,5.003314068830667,1.8798514712065295,8.646964180514978,-0.02479565812650336,0.012854197338244819,0.14309897553586587,0.3987679928426616,-0.05244060669905298,0.6896358015583411,0.12425468824960217,-0.12566813908027696,0.4893500070430243,False,0.07823625747263796,-0.31268965883232863,0.5498941288904371,False,-0.0460184307769642,-0.5847599406956426,0.44939616323774917,False
time,EVAtense,-4.986406360449003,5.003314068830667,1.8798514712065295,8.646964180514978,0.02540037388629617,0.01116760851847495,-0.07424830648818422,0.3091615725107404,-0.2799542666007984,0.5319654856293281,-0.1266606412514218,-0.4761702376111666,0.13000329999807436,False,-0.07888208305261854,-0.5189008066816574,0.3137171127779936,False,0.047778558198803237,-0.4371606218416758,0.5700762688429807,False
time,EVAhurt,-4.986406360449003,5.003314068830667,1.8798514712065295,8.646964180514978,0.01317110510267191,0.013485960758263608,0.1352500948482471,0.41666490569719294,0.9708612882683367,0.7302162401170861,-0.06548115293277994,-0.3571601924413125,0.1207081739540922,False,-0.04050437844149636,-0.3818143099339287,0.22479937870189845,False,0.024976774491283573,-0.30712756548640996,0.415701493059816,False
selfother,EVAaverage,5.169182542657374,4.876116165087619,-7.910192915878941,8.57400862388237,0.019721504825191274,0.00939425289550885,-0.11895900291935572,0.28489864116004615,0.31669738374971557,0.4983268309340283,0.10235070584123192,-0.09216341990023741,0.3780574301563343,False,-0.05399120452806685,-0.4006269964600428,0.2556778274468822,False,-0.1563419103692988,-0.6270433476875394,0.18899231912033032,False
selfother,EVAmood,5.169182542657374,4.876116165087619,-7.910192915878941,8.57400862388237,0.014316702731072944,0.007973724494890921,-0.22249669743022765,0.318160829286701,0.32166527049234694,0.547797390263079,0.07437832749333524,-0.0701949961411587,0.29085872830076254,False,-0.0391345763131308,-0.30549528827259026,0.19344523279917278,False,-0.11351290380646606,-0.48156308660399877,0.14374492637678038,False
selfother,EVAfeel,5.169182542657374,4.876116165087619,-7.910192915878941,8.57400862388237,0.016070209530453905,0.013423390749632582,0.18391299056660274,0.4227078505346717,0.03289985959338573,0.7453032279638766,0.08378846396613351,-0.10886204141948672,0.3923288073431623,False,-0.04369520901830689,-0.4053280298065988,0.25221316234390045,False,-0.1274836729844404,-0.6504818614640143,0.2080643257302862,False
selfother,EVAtense,5.169182542657374,4.876116165087619,-7.910192915878941,8.57400862388237,0.038901423187199385,0.010825363870693811,-0.3770387387300099,0.32981490317891526,0.086207139043492,0.5806412574557939,0.2013734056376164,-0.17190112103819585,0.6511668909300099,False,-0.10690032349183143,-0.6979366017978945,0.4668564347038738,False,-0.30827372912944784,-1.0739267435105186,0.3519951495305836,False
selfother,EVAhurt,5.169182542657374,4.876116165087619,-7.910192915878941,8.57400862388237,0.014419607407145403,0.013382145090787041,-0.0061453379472617515,0.4245012155628393,1.0610591786882644,0.7469131749752834,0.07527218143956083,-0.11059438054160396,0.3723821570661915,False,-0.03913765109485434,-0.3850005564977053,0.23786785148953388,False,-0.11440983253441515,-0.6179211718326278,0.20990953564136564,False
onoff,EVAaverage,-2.6902431876125448,2.6341898592374298,-1.3115271690679622,4.614511327055908,0.01902784570789191,0.014257379859784423,0.0261446289511279,0.2697830476231657,0.20504742164066644,0.46952198353850927,-0.05111460935260007,-0.23351484419984456,0.06405417335387624,False,-0.07611496647429583,-0.339441011436578,0.08960902195916359,False,-0.025000357121695762,-0.28261125023977673,0.19746651380753244,False
onoff,EVAmood,-2.6902431876125448,2.6341898592374298,-1.3115271690679622,4.614511327055908,0.02213207013711181,0.011136342535312286,-0.12143748553383961,0.30387485996353675,0.21067881007863945,0.5209416306638947,-0.05952615686273239,-0.23102559047911014,0.0598232603667703,False,-0.08862758079420976,-0.3323712662486624,0.08324707997730464,False,-0.029101423931477383,-0.2837392506735783,0.20155660855323215,False
onoff,EVAfeel,-2.6902431876125448,2.6341898592374298,-1.3115271690679622,4.614511327055908,0.007498658863468552,0.019018264112813345,0.28545206598191103,0.4048659289394433,-0.11939421172143506,0.7046877298320252,-0.019964966424115785,-0.2015888686847692,0.12099079928674791,False,-0.029762023695743545,-0.2951993828085349,0.17959701973878145,False,-0.009797057271627756,-0.24264854555156334,0.19580162758779965,False
