metric,type,value
auc,true,0.6162435897435897
auc,true,0.637897435897436
auc,true,0.629423076923077
auc,true,0.5981025641025641
auc,true,0.6315384615384615
auc,true,0.6323974358974359
auc,true,0.6702179487179488
auc,true,0.6135512820512821
auc,true,0.678474358974359
auc,true,0.6441410256410257
auc,true,0.6157179487179487
auc,true,0.6543717948717949
auc,true,0.6460897435897437
auc,true,0.6386923076923077
auc,true,0.6317564102564103
auc,true,0.5980769230769231
auc,true,0.6156025641025641
auc,true,0.6791153846153846
auc,true,0.6326538461538462
auc,true,0.5893589743589743
auc,true,0.6439230769230769
auc,true,0.6444102564102565
auc,true,0.6461153846153846
auc,true,0.6252051282051282
auc,true,0.6098974358974358
auc,true,0.6491923076923076
auc,true,0.6212692307692309
auc,true,0.6699230769230767
auc,true,0.645474358974359
auc,true,0.6537179487179487
auc,true,0.6237692307692309
auc,true,0.6356153846153847
auc,true,0.6364102564102564
auc,true,0.6219743589743589
auc,true,0.6597051282051283
auc,true,0.6362820512820513
auc,true,0.6122435897435898
auc,true,0.6350384615384616
auc,true,0.6351410256410256
auc,true,0.6654871794871795
auc,true,0.6206923076923078
auc,true,0.6272948717948718
auc,true,0.6462435897435896
auc,true,0.6475256410256411
auc,true,0.6466538461538461
auc,true,0.682525641025641
auc,true,0.6308333333333334
auc,true,0.6623076923076922
auc,true,0.6521410256410256
auc,true,0.6563461538461538
auc,true,0.637653846153846
auc,true,0.6440384615384616
auc,true,0.6197820512820513
auc,true,0.6289615384615383
auc,true,0.6350769230769231
auc,true,0.6618333333333334
auc,true,0.6377820512820513
auc,true,0.6414230769230769
auc,true,0.6537435897435899
auc,true,0.6088589743589743
auc,true,0.6085769230769231
auc,true,0.5920128205128206
auc,true,0.6556923076923078
auc,true,0.659974358974359
auc,true,0.642076923076923
auc,true,0.6362435897435899
auc,true,0.6316923076923077
auc,true,0.6567692307692309
auc,true,0.6559358974358974
auc,true,0.6217435897435897
auc,true,0.6388076923076924
auc,true,0.6596538461538461
auc,true,0.6517948717948717
auc,true,0.6370384615384614
auc,true,0.6202820512820513
auc,true,0.6506538461538462
auc,true,0.6555000000000001
auc,true,0.6420384615384616
auc,true,0.647025641025641
auc,true,0.6595769230769231
auc,true,0.6105000000000002
