feature_name,mean_importance,std_importance,rank
PE_gamma_mean_frontal_mid_trimmean,0.0052628447238598905,,92
wsmi_gamma_mean_posterior_mid_trimmean,0.005255371287476847,,93
psd_relative_alpha_mean_frontal_mid_trimmean,0.00522593431764257,,94
slowwaves_Duration_mean_frontal_right_trimmean,0.005206203522206301,,95
slowwaves_Density_mean_frontal_left_trimmean,0.005204186703594385,,96
psd_relative_theta_mean_posterior_left_trimmean,0.005201344016230013,,97
slowwaves_Duration_mean_frontal_mid_trimmean,0.005190084935279513,,98
psd_relative_gamma_mean_posterior_right_trimmean,0.00516395474670915,,99
PE_gamma_mean_frontal_right_trimmean,0.005159688866978796,,100
PE_theta_mean_posterior_left_trimmean,0.005159575809585477,,101
psd_relative_beta_mean_frontal_mid_trimmean,0.005121988222429273,,102
kolmogorov_complexity_mean_central_right_trimmean,0.00511636475212892,,103
slowwaves_Duration_mean_posterior_mid_trimmean,0.005106884360856683,,104
psd_relative_theta_mean_posterior_mid_trimmean,0.005097838369600686,,105
wsmi_beta_mean_frontal_left_trimmean,0.005086145780952938,,106
PE_alpha_mean_frontal_mid_trimmean,0.005058955476003218,,107
psd_relative_theta_mean_frontal_right_trimmean,0.005033190516266678,,108
psd_relative_delta_mean_frontal_left_trimmean,0.005032433536760486,,109
slowwaves_Frequency_mean_central_mid_trimmean,0.00502472857875723,,110
wsmi_alpha_mean_frontal_right_trimmean,0.0050215991369426845,,111
PE_theta_mean_frontal_mid_trimmean,0.005010717587055385,,112
PE_theta_mean_central_right_trimmean,0.004968180981504171,,113
psd_relative_alpha_mean_frontal_right_trimmean,0.004954106231619277,,114
PE_alpha_mean_posterior_mid_trimmean,0.004946733607791577,,115
psd_relative_alpha_mean_central_mid_trimmean,0.004930924766524445,,116
PE_theta_mean_posterior_right_trimmean,0.0049260742163973244,,117
slowwaves_Duration_mean_posterior_left_trimmean,0.00492532498698698,,118
wsmi_beta_mean_posterior_mid_trimmean,0.004908410078011933,,119
slowwaves_Frequency_mean_posterior_right_trimmean,0.004900358579397148,,120
slowwaves_PTP_mean_central_left_trimmean,0.0048934927287232486,,121
psd_relative_theta_mean_central_right_trimmean,0.004889797722187409,,122
psd_relative_delta_mean_posterior_right_trimmean,0.0048649796982041535,,123
psd_relative_gamma_mean_central_left_trimmean,0.004857385606810412,,124
slowwaves_Duration_mean_central_right_trimmean,0.004855420682024006,,125
slowwaves_Duration_mean_posterior_right_trimmean,0.004839214580735398,,126
slowwaves_Duration_mean_central_left_trimmean,0.004800601600191897,,127
slowwaves_PTP_mean_frontal_mid_trimmean,0.0047993088457994855,,128
psd_relative_alpha_mean_posterior_left_trimmean,0.0047695911471807755,,129
PE_beta_mean_posterior_mid_trimmean,0.004768812028923591,,130
kolmogorov_complexity_mean_posterior_left_trimmean,0.004761795298197063,,131
wsmi_gamma_mean_frontal_left_trimmean,0.004746859226121476,,132
slowwaves_Slope_mean_frontal_mid_trimmean,0.004737983944514064,,133
