subject,auc,subject_median,dist_from_50
03,0.2777777777777778,56.0,6.0
05,0.41666666666666663,86.0,36.0
06,0.5486111111111112,51.5,1.5
08,0.41555555555555557,47.0,3.0
11,0.5214285714285715,70.0,20.0
12,0.46875,50.0,0.0
18,0.6804347826086957,73.0,23.0
21,0.33928571428571425,43.5,6.5
22,0.44666666666666666,70.0,20.0
25,0.503030303030303,50.0,0.0
26,0.3910256410256411,55.0,5.0
27,0.39560439560439564,53.0,3.0
28,0.607843137254902,52.5,2.5
29,0.4247619047619048,49.5,0.5
30,0.6333333333333333,46.0,4.0
31,0.6565656565656566,48.5,1.5
32,0.35743801652892565,50.5,0.5
34,0.5555555555555555,76.5,26.5
35,0.8666666666666667,49.0,1.0
37,0.48409090909090907,49.0,1.0
38,0.5249999999999999,48.0,2.0
39,0.24242424242424246,57.0,7.0
42,0.5555555555555556,51.0,1.0
43,0.41148325358851673,60.0,10.0
