predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-7.868434431171135,5.231921807048502,-1.5039281398607096,0.1325998705431419,-18.122812742915915,2.3859438805736453,False,False
group_bdi3[T.Controls High BDI],1.9282258561021255,6.942044933494763,0.2777604977459312,0.781196216575774,-11.677932192606365,15.534383904810616,False,False
group_bdi3[T.Risk of Depression],-3.999617796123448,6.729069604593571,-0.5943790198563448,0.5522586376060414,-17.18835187059003,9.189116278343132,False,False
inclusion_exclusion[T.inclusion],3.9454125000469578,5.902482582927348,0.6684327220988127,0.5038574138769929,-7.623240781865597,15.514065781959513,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],2.179634079704148,8.038816629876504,0.2711386737699019,0.7862843778752019,-13.576156993175454,17.93542515258375,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],14.156808864721116,7.284459905234729,1.9434260122082363,0.051964706885097287,-0.12047019636500877,28.43408792580724,False,False
probe_number,-0.23811618356181696,0.42124362941352,-0.5652695184811133,0.571890458166527,-1.0637385259292536,0.5875061588056196,False,False
group_bdi3[T.Controls High BDI]:probe_number,0.25074609927691105,0.5673318394637996,0.4419743117430142,0.6585077948578648,-0.8612038733549958,1.362696071908818,False,False
group_bdi3[T.Risk of Depression]:probe_number,0.18672981627373617,0.532192677717832,0.35086881892941063,0.7256867650248455,-0.8563486648891466,1.229808297436619,False,False
inclusion_exclusion[T.inclusion]:probe_number,0.030126614492792834,0.6451783547046231,0.04669501739032374,0.9627563015624243,-1.2343997243330767,1.2946529533186621,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,-0.3323788286016447,0.8556035078376234,-0.3884729615492923,0.6976660595734019,-2.0093308890095205,1.3445732318062311,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,-0.6624088926634075,0.7878776788607401,-0.8407509318213474,0.4004874811473853,-2.206620767453473,0.8818029821266578,False,False
subject_id Var,0.4782665528102566,0.18230794952297677,2.6233993309764,0.008705716813249033,0.12094953764987598,0.8355835679706372,True,True
