metric,type,value
auc,true,0.5238180076628353
auc,true,0.5279846743295019
auc,true,0.5204789272030652
auc,true,0.4958390804597701
auc,true,0.5392030651340997
auc,true,0.5076226053639846
auc,true,0.5170498084291187
auc,true,0.4990363984674329
auc,true,0.5263045977011495
auc,true,0.5283639846743294
auc,true,0.522308429118774
auc,true,0.5047375478927203
auc,true,0.5353793103448276
auc,true,0.5426954022988505
auc,true,0.5292452107279694
auc,true,0.5273007662835248
auc,true,0.5220306513409961
auc,true,0.5354616858237548
auc,true,0.5087681992337164
auc,true,0.5280459770114942
auc,true,0.5310900383141763
auc,true,0.5343524904214559
auc,true,0.5208793103448276
auc,true,0.5157586206896552
auc,true,0.4986532567049809
auc,true,0.5341877394636015
auc,true,0.5329386973180077
auc,true,0.5282873563218392
auc,true,0.5018371647509579
auc,true,0.5015785440613026
auc,true,0.5204463601532567
auc,true,0.5082662835249043
auc,true,0.4943524904214558
auc,true,0.5021973180076629
auc,true,0.5426915708812261
auc,true,0.5348773946360152
auc,true,0.5092873563218391
auc,true,0.5201992337164751
auc,true,0.5067758620689655
auc,true,0.5150306513409962
auc,true,0.5003831417624521
auc,true,0.5023352490421457
auc,true,0.5278122605363985
auc,true,0.488007662835249
auc,true,0.5030134099616859
auc,true,0.5355440613026822
auc,true,0.5294099616858237
auc,true,0.536455938697318
auc,true,0.5304942528735632
auc,true,0.5249789272030652
auc,true,0.5266532567049809
auc,true,0.544484674329502
auc,true,0.5011628352490421
auc,true,0.5320498084291189
auc,true,0.4927528735632184
auc,true,0.5194310344827587
auc,true,0.5638218390804598
auc,true,0.5162471264367816
auc,true,0.5203141762452106
auc,true,0.5123409961685824
auc,true,0.5242796934865901
auc,true,0.5268582375478927
auc,true,0.5347049808429118
auc,true,0.5151436781609197
auc,true,0.5066954022988505
auc,true,0.5221973180076628
auc,true,0.520992337164751
auc,true,0.4977413793103448
auc,true,0.5070019157088121
auc,true,0.5287509578544062
auc,true,0.5388984674329502
auc,true,0.5198045977011494
auc,true,0.5056743295019157
auc,true,0.5300210727969348
auc,true,0.513080459770115
auc,true,0.5689042145593871
auc,true,0.5176819923371648
auc,true,0.5127030651340996
auc,true,0.5413850574712643
auc,true,0.5073639846743294
auc,true,0.515308429118774
auc,true,0.5420478927203065
auc,true,0.5424578544061303
auc,true,0.5194655172413793
auc,true,0.519772030651341
auc,true,0.52422030651341
auc,true,0.5243199233716476
auc,true,0.4866072796934866
auc,true,0.5245153256704982
auc,true,0.5244080459770115
auc,true,0.5207681992337164
auc,true,0.5165766283524904
auc,true,0.549028735632184
auc,true,0.5290114942528735
auc,true,0.5351724137931034
auc,true,0.5018639846743296
auc,true,0.552521072796935
auc,true,0.518978927203065
auc,true,0.5429693486590039
auc,true,0.533955938697318
auc,permuted,0.5462500000000001
auc,permuted,0.4927981481481482
auc,permuted,0.5002666666666666
auc,permuted,0.4654888888888889
auc,permuted,0.4580407407407408
auc,permuted,0.5172518518518519
auc,permuted,0.4609722222222222
auc,permuted,0.538575925925926
auc,permuted,0.4481296296296296
auc,permuted,0.5066851851851852
auc,permuted,0.5320222222222222
auc,permuted,0.4692685185185186
auc,permuted,0.4691314814814815
auc,permuted,0.515337037037037
auc,permuted,0.5291981481481481
auc,permuted,0.5485185185185185
auc,permuted,0.4669574074074074
auc,permuted,0.4822425925925926
auc,permuted,0.5040833333333333
auc,permuted,0.4567999999999999
