predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,0.3567978985350576,0.1483001169810926,2.4059178495492843,0.016131891844411026,0.06613501034903924,0.647460786721076,True,False
group_bdi3[T.Controls High BDI],-0.2721488805721144,0.18397718323677745,-1.479253436671332,0.13907259256724,-0.6327375336933243,0.08843977254909557,False,False
group_bdi3[T.Risk of Depression],-0.507087457032968,0.18350167320803315,-2.7633941869188865,0.005720363638162506,-0.8667441276235515,-0.14743078644238444,True,True
time_on_task,-0.0014964208473292647,0.0015846319064276874,-0.9443334071839553,0.3449992995301646,-0.004602242312680577,0.0016094006180220478,False,False
subject_id Var,0.2233234342340171,0.07870584828325022,2.837443965158859,0.004547632844072077,0.06906280622617303,0.37758406224186114,True,True
