predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-0.01264783522407642,0.24594770872189137,-0.05142489551865729,0.958986947259824,-0.4946964863991312,0.4694008159509784,False,False
group_bdi3[T.Controls High BDI],0.12470163959729881,0.3166391744628514,0.39382884258981354,0.6937074084652817,-0.4958997384443848,0.7453030176389824,False,False
group_bdi3[T.Risk of Depression],-0.08868488148229067,0.29964374341405653,-0.2959677397960661,0.7672547181606181,-0.6759758267666025,0.4986060638020211,False,False
inclusion_exclusion[T.inclusion],-0.07237254263010956,0.32079236560782853,-0.2256055641878511,0.8215082128248682,-0.7011140257368589,0.5563689404766399,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],0.08010268780703803,0.42561028193112654,0.1882066557311237,0.8507146552053698,-0.7540781362279085,0.9142835118419845,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],0.21108089725083948,0.38795162886801343,0.5440907616930052,0.5863790174121037,-0.5492903230741164,0.9714521175757953,False,False
probe_number,-0.02538623355986021,0.02304318126641326,-1.1016809383373676,0.2706004067758706,-0.07055003893125827,0.019777571811537848,False,False
group_bdi3[T.Controls High BDI]:probe_number,0.001444448501174715,0.030568570166759495,0.047252733552628504,0.9623117991308954,-0.058468848084559454,0.06135774508690888,False,False
group_bdi3[T.Risk of Depression]:probe_number,0.006289316395943142,0.0285233038483787,0.22049747215032503,0.8254837408694692,-0.04961533186697183,0.06219396465885812,False,False
inclusion_exclusion[T.inclusion]:probe_number,0.06193037049573367,0.03576694709731186,1.731497248765416,0.08336311516038257,-0.008171557651947,0.13203229864341434,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,-0.06194215607732123,0.046440743006402656,-1.3337890840545217,0.18227298944984172,-0.15296433978515084,0.029080027630508362,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,-0.024264076749347784,0.04284762736402329,-0.566287522602032,0.5711983410422716,-0.10824388320582633,0.05971572970713075,False,False
subject_id Var,0.1112534532529147,0.06134345751872399,1.8136156283489007,0.06973692266643756,-0.00897751417094711,0.23148442067677652,False,False
