subject,auc,minority_ratio,n_trials
05,0.548,0.4782608695652174,46
06,0.782,0.5,48
08,0.3333333333333333,0.4186046511627907,43
11,0.65,0.25925925925925924,27
12,0.7291666666666667,0.4444444444444444,36
18,0.5375,0.46511627906976744,43
22,0.38333333333333325,0.42857142857142855,35
25,0.4333333333333334,0.4230769230769231,26
26,0.5666666666666667,0.48,25
27,0.7,0.48148148148148145,27
28,0.5944444444444444,0.46875,32
29,0.58,0.45652173913043476,46
31,0.45,0.45,20
32,0.38749999999999996,0.5,44
34,0.5513333333333332,0.46,50
35,0.5,0.45454545454545453,11
37,0.7,0.47619047619047616,42
38,0.5958333333333333,0.4444444444444444,36
42,0.5,0.5,12
43,0.77,0.4634146341463415,41
