coefficient,predictor,outcome_category,estimate,std_error,z_value,p_value,conf_lower,conf_upper,cluster_name,significant_05,significant_01
Intercept[0],Intercept,0,0.04831857727080785,0.16626801850231926,0.2906065622604016,0.7713522406359015,-0.27756075077457726,0.37419790531619296,,False,False
Intercept[1],Intercept,1,0.076227365387884,0.13243207391763714,0.5755959499304656,0.5648883192193355,-0.7075597678100882,0.28427250106187374,Self-Centered,False,False
group_binary[0],group_binary,0,-0.21164363337410722,0.25302308529529327,-0.8364597764947268,0.40289629621464895,-0.1833347298886311,0.3357894606643991,,False,False
group_binary[1],group_binary,1,-0.28914936263055546,0.3703345179170427,-0.7807788597640979,0.4349325697524614,-1.0149916799799625,0.4366929547188516,Self-Centered,False,False
