cluster_id,cluster_type,n_electrodes,electrodes,cluster_stat,p_value
0,negative,2,"AF4,AFz",-5.497904533339437,0.0629874025194961
1,negative,1,CP3,-2.980739094290084,0.10617876424715057
2,negative,1,CP6,-2.6426733921554555,0.13457308538292342
3,negative,1,PO3,-2.291379609409009,0.22075584883023394
