Marker Type,Marker Name,N Subjects,N Observations,N Channels,Total Clusters,Sig Clusters (uncorr),Sig Clusters (corr),In Correction Family,Marker p (uncorr),Marker p (corr),Marker Rejected,Correction Method,Correction Unit,Correction Family Size,T-stat Min,T-stat Max,T-stat Mean (abs),Predictor,Threshold,N Permutations,Analysis Date
evoked,evoked/N1,37,2164,64,0,0,0,True,1.0,1.0,False,fdr_bh,marker,4,-0.7442903292473813,1.4040512294634175,0.5846573258879134,selfother,1.959963984540054,5000,2026-08-13T23:22:30.903019
evoked,evoked/P1,37,2164,64,0,0,0,True,1.0,1.0,False,fdr_bh,marker,4,-0.8852220172154212,1.8680089739433905,0.8030289051140569,selfother,1.959963984540054,5000,2026-08-13T23:35:03.997228
evoked,evoked/P3a,37,2164,64,1,1,0,True,0.01859628074385123,0.05558888222355529,False,fdr_bh,marker,4,-1.595329449292565,3.4879299772362704,1.2052627437051406,selfother,1.959963984540054,5000,2026-08-13T23:27:09.219963
evoked,evoked/P3b,37,2164,64,1,1,0,True,0.027794441111777646,0.05558888222355529,False,fdr_bh,marker,4,-1.3371406242765151,3.6421634407974204,1.3255146370419566,selfother,1.959963984540054,5000,2026-08-13T23:29:32.270657
sleep,sleep/PE_alpha,37,2166,64,3,0,0,True,0.057588482303539294,0.15529394121175766,False,fdr_bh,marker,19,-1.7053246193045486,2.9458916174671366,1.1457053166279463,selfother,1.959963984540054,5000,2026-08-13T23:25:44.510487
sleep,sleep/PE_beta,37,2166,64,6,1,0,True,0.03579284143171366,0.1310737852429514,False,fdr_bh,marker,19,-3.476134252623112,3.0760393225696987,1.2911967431341993,selfother,1.959963984540054,5000,2026-08-13T23:30:19.541624
sleep,sleep/PE_gamma,37,2166,64,7,0,0,True,0.0653869226154769,0.15529394121175766,False,fdr_bh,marker,19,-3.5765921478497806,3.205057708578933,1.1800923765916649,selfother,1.959963984540054,5000,2026-08-13T23:29:42.623316
sleep,sleep/PE_theta,37,2166,64,2,0,0,True,0.10317936412717456,0.16336732653469305,False,fdr_bh,marker,19,-3.6118359020863995,1.3710433453449153,0.9762891679725536,selfother,1.959963984540054,5000,2026-08-13T23:31:02.701855
sleep,sleep/kolmogorov_complexity,37,2166,64,2,0,0,True,0.20435912817436513,0.2986787257933029,False,fdr_bh,marker,19,-2.4745917750427426,2.2686321966165166,0.8138858057375694,selfother,1.959963984540054,5000,2026-08-13T23:30:29.977654
sleep,sleep/psd_relative_alpha,37,2166,64,1,1,0,True,0.03199360127974405,0.1310737852429514,False,fdr_bh,marker,19,-3.859972716820878,1.5492870299566526,0.9299753134701241,selfother,1.959963984540054,5000,2026-08-13T23:29:03.943217
sleep,sleep/psd_relative_beta,37,2166,64,4,1,0,True,0.02579484103179364,0.1310737852429514,False,fdr_bh,marker,19,-1.6030705083569339,3.2947480812617074,1.2455521446070703,selfother,1.959963984540054,5000,2026-08-13T23:28:38.609012
sleep,sleep/psd_relative_delta,37,2166,64,2,0,0,True,0.10177964407118577,0.16336732653469305,False,fdr_bh,marker,19,-1.5711201540313655,4.008527501899619,0.7587001338104963,selfother,1.959963984540054,5000,2026-08-13T23:33:24.062261
sleep,sleep/psd_relative_gamma,37,2166,64,4,0,0,True,0.09038192361527694,0.16336732653469305,False,fdr_bh,marker,19,-2.644264988211773,2.7084205627806863,0.8487976801991151,selfother,1.959963984540054,5000,2026-08-13T23:34:28.383082
sleep,sleep/psd_relative_theta,37,2166,64,4,1,0,True,0.041391721655668866,0.1310737852429514,False,fdr_bh,marker,19,-0.6191929034725117,3.233793816584511,1.1416307184820131,selfother,1.959963984540054,5000,2026-08-13T23:34:55.264155
sleep,sleep/slowwaves_Density,37,2166,64,3,1,0,True,0.01879624075184963,0.1310737852429514,False,fdr_bh,marker,19,-3.054891597730272,0.502130394764648,1.4066061787103568,selfother,1.959963984540054,5000,2026-08-13T23:39:01.153240
sleep,sleep/slowwaves_Duration,37,2166,64,0,0,0,True,1.0,1.0,False,fdr_bh,marker,19,-1.7366430452015587,1.6821066529710982,0.7142789616439515,selfother,1.959963984540054,5000,2026-08-13T23:36:41.622034
sleep,sleep/slowwaves_Frequency,37,2166,64,1,0,0,True,0.395120975804839,0.5004865693527961,False,fdr_bh,marker,19,-2.319408146771229,1.6834430620531924,0.833714681777947,selfother,1.959963984540054,5000,2026-08-14T00:09:34.114874
sleep,sleep/slowwaves_PTP,37,2166,64,6,1,0,True,0.016796640671865627,0.1310737852429514,False,fdr_bh,marker,19,-2.9409510631960174,0.19745763792868318,1.349158566576913,selfother,1.959963984540054,5000,2026-08-14T00:04:03.595677
sleep,sleep/slowwaves_Slope,37,2166,64,3,0,0,True,0.09158168366326734,0.16336732653469305,False,fdr_bh,marker,19,-2.4802793635934606,1.0340828537366091,0.8564559582162342,selfother,1.959963984540054,5000,2026-08-14T00:07:38.351109
sleep,sleep/wsmi_alpha,37,2166,64,0,0,0,True,1.0,1.0,False,fdr_bh,marker,19,-1.878068398101116,1.7385459309552005,0.6810432075811312,selfother,1.959963984540054,5000,2026-08-14T00:12:59.273093
sleep,sleep/wsmi_beta,37,2166,64,0,0,0,True,1.0,1.0,False,fdr_bh,marker,19,-2.046938040456154,1.8010840397670194,0.7580926769353908,selfother,1.959963984540054,5000,2026-08-14T00:15:41.315773
sleep,sleep/wsmi_gamma,37,2166,64,1,0,0,True,0.4367126574685063,0.5185962807438512,False,fdr_bh,marker,19,-1.7018606127694078,2.273467644263122,0.8330361157134301,selfother,1.959963984540054,5000,2026-08-14T00:16:43.679340
sleep,sleep/wsmi_theta,37,2166,64,1,0,0,True,0.24415116976604678,0.3313480161110635,False,fdr_bh,marker,19,-2.4306179170685662,1.771762282404179,0.7282288277618203,selfother,1.959963984540054,5000,2026-08-14T00:19:30.083579
