,onoff,valence,selfother,time,confidence
onoff,0.6977447802229549,0.6000116749744288,0.5588493828700475,0.5072783846994389,0.5748860230961115
valence,0.5658147066421154,0.6642567910583946,0.554619970686103,0.5173012825050405,0.5305368237372295
selfother,0.5446430095627427,0.5466043500050365,0.6289073440586319,0.4951619323827369,0.5395735047408395
time,0.4987818266101658,0.5270670682057634,0.49158952685390495,0.5950592824148423,0.48659141030229447
confidence,0.5249430022612157,0.5357768791072509,0.4979602247412857,0.47420879465125326,0.6169046854371629
