,onoff,valence,selfother,time,confidence
onoff,1.0,0.16167664670658682,0.5808383233532934,0.6526946107784432,0.11976047904191617
valence,0.18163672654690619,1.0,0.013972055888223553,0.7065868263473054,0.7904191616766467
selfother,0.5728542914171657,0.4431137724550898,1.0,0.2994011976047904,0.8862275449101796
time,0.3373253493013972,0.16966067864271456,0.9860279441117764,1.0,0.28542914171656686
confidence,0.027944111776447105,0.8802395209580839,0.35528942115768464,0.32934131736526945,1.0
