subject,auc,minority_ratio,n_trials
02,0.75,0.48717948717948717,39
04,0.8388888888888889,0.5,60
06,0.32333333333333336,0.3142857142857143,35
08,0.5366666666666668,0.48214285714285715,56
13,0.7,0.375,16
14,0.7899999999999999,0.45652173913043476,46
18,0.5940000000000001,0.48936170212765956,47
24,0.8613333333333333,0.48,50
26,0.6639999999999999,0.46296296296296297,54
27,0.2208333333333333,0.4444444444444444,36
34,0.6240000000000001,0.5,52
35,0.7026666666666667,0.5,54
40,0.835,0.45,40
43,0.5146666666666667,0.4716981132075472,53
