feature_name,mean_abs_shap_value
slowwaves_Density_mean_posterior_left_trimmean,0.0008454735666868368
slowwaves_Density_mean_posterior_mid_trimmean,0.0009913518573399448
slowwaves_Density_mean_posterior_right_trimmean,0.0015432887628172834
slowwaves_Duration_mean_central_left_trimmean,0.0011051160994229661
slowwaves_Duration_mean_central_mid_trimmean,0.0018407808502273518
slowwaves_Duration_mean_central_right_trimmean,0.0012365425313829164
slowwaves_Duration_mean_frontal_left_trimmean,0.0017670492785845722
slowwaves_Duration_mean_frontal_mid_trimmean,0.0019461281013981727
slowwaves_Duration_mean_frontal_right_trimmean,0.0012589652139926406
slowwaves_Duration_mean_posterior_left_trimmean,0.000981927719056325
slowwaves_Duration_mean_posterior_mid_trimmean,0.001055704566084829
slowwaves_Duration_mean_posterior_right_trimmean,0.0014811031569789068
slowwaves_Frequency_mean_central_left_trimmean,0.0014959306031756836
slowwaves_Frequency_mean_central_mid_trimmean,0.0015169704901597985
slowwaves_Frequency_mean_central_right_trimmean,0.0010017788014359476
slowwaves_Frequency_mean_frontal_left_trimmean,0.0017685329478398422
slowwaves_Frequency_mean_frontal_mid_trimmean,0.0018165953938396502
slowwaves_Frequency_mean_frontal_right_trimmean,0.0015036438978121695
slowwaves_Frequency_mean_posterior_left_trimmean,0.001077796786505125
slowwaves_Frequency_mean_posterior_mid_trimmean,0.0008739071769459747
slowwaves_Frequency_mean_posterior_right_trimmean,0.0011430657823617043
slowwaves_PTP_mean_central_left_trimmean,0.0019045406264855613
slowwaves_PTP_mean_central_mid_trimmean,0.0008677589927972545
slowwaves_PTP_mean_central_right_trimmean,0.0013506795551522406
slowwaves_PTP_mean_frontal_left_trimmean,0.0030511251081814413
slowwaves_PTP_mean_frontal_mid_trimmean,0.0012856936701345501
slowwaves_PTP_mean_frontal_right_trimmean,0.0015714941177557582
slowwaves_PTP_mean_posterior_left_trimmean,0.002450794483580023
slowwaves_PTP_mean_posterior_mid_trimmean,0.0011504594257048183
slowwaves_PTP_mean_posterior_right_trimmean,0.0008869976901436294
slowwaves_Slope_mean_central_left_trimmean,0.0011294346701993742
slowwaves_Slope_mean_central_mid_trimmean,0.0036027995434962856
slowwaves_Slope_mean_central_right_trimmean,0.0016871511936673025
slowwaves_Slope_mean_frontal_left_trimmean,0.0012523270075814497
slowwaves_Slope_mean_frontal_mid_trimmean,0.0009548993308971563
slowwaves_Slope_mean_frontal_right_trimmean,0.001192999102259642
slowwaves_Slope_mean_posterior_left_trimmean,0.0012711443472646915
slowwaves_Slope_mean_posterior_mid_trimmean,0.0012749969162106072
slowwaves_Slope_mean_posterior_right_trimmean,0.0007609495117171432
wsmi_alpha_mean_central_left_trimmean,0.0012136307331890863
wsmi_alpha_mean_central_mid_trimmean,0.0029610317902509543
