dimension,label,rho,p
onoff,On/Off-Task,-0.049407114624505935,0.8228578988707852
valence,Valence,-0.1779095680702808,0.4167040535240284
selfother,Self/Other,0.25720277329249575,0.23610635020642007
time,Time,-0.05210933587231896,0.8133308899433681
confidence,Confidence,0.06339791605188198,0.7738220000694046
