dimension,label,rho,p
onoff,On/Off-Task,0.3379446640316206,0.11475994546630629
valence,Valence,-0.20212503705762455,0.35501983573785734
selfother,Self/Other,0.3187725491385758,0.13820235589725718
time,Time,0.08016820903433687,0.7161428174115835
confidence,Confidence,0.04903432569637747,0.8241741441682845
