dimension,label,rho,p
onoff,On/Off-Task,0.7766798418972332,1.3132903217007575e-05
valence,Valence,0.2663701588607815,0.2192319049426677
selfother,Self/Other,0.591864296842963,0.002929340038986632
time,Time,0.39382632688117974,0.06297701631152466
confidence,Confidence,0.6166437928483833,0.0017258701619878173
