dimension,marker,family,cluster_stat,cbpt_significant,y_value
onoff,N1,evoked,-2.777406072524141,False,0.0388111929447685
onoff,P1,evoked,-54.47785834206822,True,0.038395309957903
onoff,P3a,evoked,55.503146001435944,True,0.0572051631337176
onoff,P3b,evoked,100.3501179877593,True,0.0427689160147725
onoff,PE_alpha,sleep,17.12678100757502,True,0.0457072483341158
onoff,PE_beta,sleep,-75.61956507643157,True,0.0466367521308281
onoff,PE_gamma,sleep,-74.1595933440282,True,0.0481069499146471
onoff,PE_theta,sleep,-5.497904533339437,False,0.0548025025938146
onoff,kolmogorov_complexity,sleep,-3.109948824359,False,0.0410228899082633
onoff,psd_relative_alpha,sleep,-58.40606047624926,True,0.0418168212206622
onoff,psd_relative_beta,sleep,-8.772426932314298,True,0.0441365972889019
onoff,psd_relative_delta,sleep,34.13968066293575,True,0.0508557609279624
onoff,psd_relative_gamma,sleep,-55.906915823062974,True,0.0437345726782008
onoff,psd_relative_theta,sleep,61.588844114702376,True,0.050353444480749
onoff,slowwaves_Density,sleep,-30.63691400317057,True,0.0346611849770344
onoff,slowwaves_Duration,sleep,-6.074239439088434,True,0.0312885755512029
onoff,slowwaves_Frequency,sleep,5.315528589320701,True,0.0341335504708669
onoff,slowwaves_PTP,sleep,-42.452148191469774,True,0.0357089484258653
onoff,slowwaves_Slope,sleep,-2.667608115874049,False,0.0350260690355378
onoff,wsmi_alpha,sleep,5.498470455371601,True,0.0448218621634396
onoff,wsmi_beta,sleep,8.285195098459747,True,0.0479620309654459
onoff,wsmi_gamma,sleep,30.063678541225684,True,0.0462590429767006
onoff,wsmi_theta,sleep,5.8854071759047475,True,0.0457846139045989
valence,N1,evoked,-5.125323028896635,False,0.0353163958500857
valence,P1,evoked,0.0,False,0.0512828805086639
valence,P3a,evoked,0.0,False,0.0447854352708002
valence,P3b,evoked,-2.3716328064518675,False,0.0418158145284644
valence,PE_alpha,sleep,-2.581975014522704,False,0.0436436056857685
valence,PE_beta,sleep,-2.838626920736902,False,0.0430496312093661
valence,PE_gamma,sleep,-2.708310348561176,False,0.0455237961535866
valence,PE_theta,sleep,-12.434823944924222,False,0.0438220393863137
valence,kolmogorov_complexity,sleep,2.5219492353855797,False,0.055620497288158
valence,psd_relative_alpha,sleep,-5.357599003306564,False,0.034155962439233
valence,psd_relative_beta,sleep,-7.000178525429762,False,0.0516774820442878
valence,psd_relative_delta,sleep,52.81551113144849,True,0.0400300989789301
valence,psd_relative_gamma,sleep,-3.378027316249653,False,0.0503466906662063
valence,psd_relative_theta,sleep,15.25865838781137,False,0.0406676400127767
valence,slowwaves_Density,sleep,23.431048475036413,False,0.036281505670493
valence,slowwaves_Duration,sleep,2.5556078596771905,False,0.0390098040387413
valence,slowwaves_Frequency,sleep,-3.031375881373755,False,0.0382567857852427
valence,slowwaves_PTP,sleep,2.6460194773492183,False,0.0362375709183241
valence,slowwaves_Slope,sleep,5.783196065899062,False,0.0360444602530898
valence,wsmi_alpha,sleep,-4.850131134635552,False,0.0490975657573849
valence,wsmi_beta,sleep,-2.7047910714855243,False,0.0492333460091381
valence,wsmi_gamma,sleep,-2.8297317312438004,False,0.048000610462808
valence,wsmi_theta,sleep,3.3547450208131524,False,0.0461003810821358
selfother,N1,evoked,0.0,False,0.0489014700785325
selfother,P1,evoked,0.0,False,0.0412176584949815
selfother,P3a,evoked,26.550209124879142,False,0.0478889733312781
selfother,P3b,evoked,25.221291094115173,False,0.0485187265723051
selfother,PE_alpha,sleep,5.723326997514689,False,0.0423089124738235
selfother,PE_beta,sleep,7.548979625099959,False,0.03959026597841
selfother,PE_gamma,sleep,4.8926832890939185,False,0.0412391423009511
selfother,PE_theta,sleep,-3.6118359020863995,False,0.0443311913931133
selfother,kolmogorov_complexity,sleep,-2.4745917750427426,False,0.0457674341395074
selfother,psd_relative_alpha,sleep,-12.488539594803562,False,0.0407037931937359
selfother,psd_relative_beta,sleep,11.016474663201688,False,0.0423896323525131
selfother,psd_relative_delta,sleep,4.008527501899619,False,0.0444173841043855
selfother,psd_relative_gamma,sleep,2.7084205627806863,False,0.0441886343069333
selfother,psd_relative_theta,sleep,10.552235420760956,False,0.0472267708492551
selfother,slowwaves_Density,sleep,-18.734927710114476,False,0.0373451005327393
selfother,slowwaves_Duration,sleep,0.0,False,0.0363727704702594
selfother,slowwaves_Frequency,sleep,-2.319408146771229,False,0.0365373935642038
selfother,slowwaves_PTP,sleep,-8.12163546336942,False,0.0412697066580816
selfother,slowwaves_Slope,sleep,-4.681426834895936,False,0.0402866888442537
selfother,wsmi_alpha,sleep,0.0,False,0.0479199093794419
selfother,wsmi_beta,sleep,0.0,False,0.0465601866689291
selfother,wsmi_gamma,sleep,2.273467644263122,False,0.0450101220821041
selfother,wsmi_theta,sleep,-2.4306179170685662,False,0.0500081322302604
time,N1,evoked,2.409770662696871,False,0.0546574496206241
time,P1,evoked,2.3471012720866478,False,0.04630084231333
time,P3a,evoked,0.0,False,0.0652941465134932
time,P3b,evoked,0.0,False,0.0626123164837082
time,PE_alpha,sleep,-21.75653621660703,False,0.0439096265856039
time,PE_beta,sleep,-2.9651167079850085,False,0.04069011476837
time,PE_gamma,sleep,-2.994473984562037,False,0.0418208936119042
time,PE_theta,sleep,0.0,False,0.0382515141313811
time,kolmogorov_complexity,sleep,-9.555387107891125,False,0.0417466863943114
time,psd_relative_alpha,sleep,15.949214994716197,False,0.0364749152852844
time,psd_relative_beta,sleep,-4.728719949950355,False,0.0401343684115545
time,psd_relative_delta,sleep,0.0,False,0.0399626156864371
time,psd_relative_gamma,sleep,-20.863623956333548,False,0.0425311904368769
time,psd_relative_theta,sleep,5.079927325246864,False,0.0428661952087794
time,slowwaves_Density,sleep,0.0,False,0.034081937468867
time,slowwaves_Duration,sleep,2.259940271745968,False,0.0353603730597363
time,slowwaves_Frequency,sleep,0.0,False,0.0387451854568264
time,slowwaves_PTP,sleep,-2.3000473638125256,False,0.0379459508292852
