subject,n_samples,y_true_majority,y_proba_mean,auc,auprc,balanced_accuracy,precision,recall,f1
10,1,0,0.37761397598964547,,,1.0,0.0,0.0,0.0
11,1,0,0.04642710696631291,,,1.0,0.0,0.0,0.0
12,1,0,0.7940044594159906,,,0.0,0.0,0.0,0.0
13,1,0,0.00025439610824159754,,,1.0,0.0,0.0,0.0
14,1,0,0.14386183368967878,,,1.0,0.0,0.0,0.0
15,1,0,0.18428354347199496,,,1.0,0.0,0.0,0.0
16,1,0,0.20845680644396153,,,1.0,0.0,0.0,0.0
17,1,1,0.3242484976335247,,,0.0,0.0,0.0,0.0
18,1,0,0.15790560347487828,,,1.0,0.0,0.0,0.0
19,1,0,0.3866930169320362,,,1.0,0.0,0.0,0.0
2,1,0,0.1833036522102808,,,1.0,0.0,0.0,0.0
20,1,0,0.022452566145216915,,,1.0,0.0,0.0,0.0
21,1,0,0.16018023013571944,,,1.0,0.0,0.0,0.0
22,1,0,0.543671310090256,,,0.0,0.0,0.0,0.0
23,1,1,0.4248048177134511,,,0.0,0.0,0.0,0.0
24,1,0,0.09169981845103695,,,1.0,0.0,0.0,0.0
25,1,0,0.1516567868420053,,,1.0,0.0,0.0,0.0
26,1,0,0.2117920333066183,,,1.0,0.0,0.0,0.0
27,1,0,0.02765382370145634,,,1.0,0.0,0.0,0.0
28,1,0,0.5772365044212183,,,0.0,0.0,0.0,0.0
29,1,1,0.9545958723699683,,,1.0,1.0,1.0,1.0
3,1,0,0.623089860993936,,,0.0,0.0,0.0,0.0
30,1,1,0.5568886911946702,,,1.0,1.0,1.0,1.0
31,1,1,0.20466649823833177,,,0.0,0.0,0.0,0.0
32,1,1,0.7957641828561811,,,1.0,1.0,1.0,1.0
33,1,1,0.9949667515696187,,,1.0,1.0,1.0,1.0
34,1,1,0.008302216637226474,,,0.0,0.0,0.0,0.0
35,1,1,0.9508064790196188,,,1.0,1.0,1.0,1.0
36,1,1,0.8107539394224463,,,1.0,1.0,1.0,1.0
37,1,1,0.7234763000577412,,,1.0,1.0,1.0,1.0
38,1,1,0.9791107328561903,,,1.0,1.0,1.0,1.0
39,1,0,0.046906907522467726,,,1.0,0.0,0.0,0.0
4,1,0,0.30050047020668974,,,1.0,0.0,0.0,0.0
40,1,0,0.5475458877597515,,,0.0,0.0,0.0,0.0
41,1,0,0.22004055868653793,,,1.0,0.0,0.0,0.0
42,1,0,0.5698153124167656,,,0.0,0.0,0.0,0.0
43,1,0,0.2775909147545449,,,1.0,0.0,0.0,0.0
5,1,0,0.19297582506378708,,,1.0,0.0,0.0,0.0
6,1,0,0.830882591365983,,,0.0,0.0,0.0,0.0
7,1,0,0.0034901771005671498,,,1.0,0.0,0.0,0.0
8,1,0,0.3014669639541054,,,1.0,0.0,0.0,0.0
9,1,0,0.12560151520079108,,,1.0,0.0,0.0,0.0
