feature,importance
rt_mean,1.216055242860239
valence,1.0496867597277557
selfother,1.043226408268182
PC1,0.6664186763004862
onoff,0.5487367222955767
time,0.377657962997932
PC2,0.3446281137802572
PC3,0.3197591749956146
omission_rate,0.24123326984571516
rtcv,0.21013951702313238
commission_rate,0.19890609922681934
confidence,0.08202060224651853
