feature,shap_importance
rt_mean,0.9541027629442999
valence,0.935917337767688
selfother,0.8233589486009153
onoff,0.5039785985268352
PC1,0.45502493973665753
time,0.2981193579616917
PC2,0.24606443221334567
PC3,0.20973053572995598
commission_rate,0.18231495159488426
omission_rate,0.1704262192230488
rtcv,0.1674224025726292
confidence,0.092412788083928
