perm_idx,auc,balanced_accuracy,auprc
0,0.5694444444444444,0.55,0.3350825717492384
1,0.6138888888888889,0.5833333333333333,0.38175086166495703
2,0.3111111111111111,0.3416666666666667,0.22386995542094187
3,0.39722222222222225,0.5416666666666666,0.3118345725543868
4,0.26944444444444443,0.35,0.2200106261933737
5,0.3222222222222222,0.3416666666666667,0.22423388246636622
6,0.08333333333333333,0.275,0.17699513371530753
7,0.5027777777777778,0.5333333333333333,0.31039397333491947
8,0.4083333333333333,0.4583333333333333,0.256160682039165
9,0.45,0.4916666666666667,0.32845712483870376
10,0.4,0.4083333333333333,0.28512303024203184
11,0.6055555555555555,0.6,0.35988664218153377
12,0.4833333333333333,0.45833333333333337,0.3075653411834953
13,0.275,0.41666666666666663,0.22850769370746907
14,0.4111111111111111,0.375,0.31907419659612646
15,0.525,0.4583333333333333,0.2909970070843761
16,0.5361111111111112,0.5416666666666666,0.3093326342721382
17,0.6,0.575,0.3537254412254412
18,0.5472222222222223,0.5416666666666666,0.4406884462171689
19,0.6083333333333334,0.5416666666666666,0.4121990058539247
20,0.3027777777777778,0.3833333333333333,0.21904302167841752
21,0.5777777777777778,0.625,0.3409794553445916
22,0.44166666666666665,0.5083333333333333,0.37449158454442105
23,0.5277777777777778,0.525,0.3281390604515988
24,0.4444444444444444,0.425,0.31914874748873584
25,0.4916666666666667,0.4916666666666667,0.30169602002935336
26,0.6166666666666667,0.6083333333333334,0.38472924267761227
27,0.38611111111111107,0.43333333333333335,0.24999199163219127
28,0.5166666666666666,0.6,0.30660450258276345
29,0.5527777777777778,0.5166666666666666,0.39626998374233063
30,0.4916666666666667,0.5666666666666667,0.29639059071171137
31,0.41666666666666663,0.44166666666666665,0.34331232564128306
32,0.375,0.4,0.2579820185862057
33,0.575,0.55,0.36116228929863237
34,0.6194444444444445,0.6499999999999999,0.356975511821814
35,0.663888888888889,0.6416666666666666,0.45308609788448495
36,0.06666666666666665,0.275,0.17575565916347202
37,0.39444444444444443,0.5166666666666666,0.26738183483049816
38,0.45555555555555555,0.5083333333333333,0.28414040546019864
39,0.40555555555555556,0.45,0.24708829864840098
40,0.3277777777777778,0.30833333333333335,0.2250212674011096
41,0.4361111111111111,0.45833333333333337,0.28019640717889094
42,0.27222222222222225,0.3833333333333333,0.21223923278213003
43,0.35555555555555557,0.3833333333333333,0.2318347678390026
44,0.45000000000000007,0.5416666666666666,0.27797671628582066
45,0.42499999999999993,0.4666666666666667,0.2728308178011064
46,0.21944444444444444,0.35833333333333334,0.20100319115122672
47,0.55,0.5666666666666667,0.47412327142719296
