"coefficient","estimate","se","z_value","p_value","effect_type","cluster_comparison","coefficient_clean","significant"
"beta10",-0.03774,0.23697,-0.15927,0.87346,"intercept",NA,"Intercept_Self-Centered_vs_Low",FALSE
"ie_binary:1",0.13618,0.39122,0.34809,0.72777,"main_ie","Self-Centered_vs_Low","InclusionExclusion_effect_Self-Centered_vs_Low",FALSE
"beta20",-0.03774,0.16392,-0.23023,0.81791,"intercept",NA,"Intercept_Positive-Future-Oriented_vs_Low",FALSE
"ie_binary:2",0.07164,0.24272,0.29517,0.76787,"main_ie","Positive-Future-Oriented_vs_Low","InclusionExclusion_effect_Positive-Future-Oriented_vs_Low",FALSE
