"coefficient","estimate","se","z_value","p_value","effect_type","cluster_comparison","coefficient_clean","significant","p_bonferroni","sig_corrected"
"group_binary:1",0.28915,0.36282,0.79695,0.42548,"main_group","Self-Centered_vs_Low","Group_effect_Self-Centered_vs_Low",FALSE,0.85096,FALSE
"group_binary:2",0.07751,0.22733,0.34095,0.73314,"main_group","Positive-Future-Oriented_vs_Low","Group_effect_Positive-Future-Oriented_vs_Low",FALSE,1,FALSE
