marker,present_estimate,present_p_fdr,present_significant_fdr,time_sq_estimate,time_sq_p_fdr,time_sq_significant_fdr
Omission Rate,0.0005524288287672833,0.024217436257741348,True,-0.0006246133502001879,0.029736514226064766,True
Commission Rate,-0.0011049063331656477,0.31817883158283433,False,0.0019604664353807086,0.12519831254064354,False
Total Errors,-0.0006832189087683519,0.4733426593933967,False,0.0014632469374002972,0.25488605371620426,False
RTCV (RT Variability),-0.00024592958111759164,0.8446720312167629,False,0.000341062438599465,0.7036078042616329,False
