dv,predictor,predictor_type,beta,se,t_value,p_value,n_obs,n_subjects,coef_name,converged,error,p_fdr,significant_uncorrected,significant_fdr
onoff,condition,experimental,-0.05614778273094413,0.03393649201700429,-1.6544957770770945,0.09802682063960835,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]",True,,0.3921072825584334,False,False
confidence,rrs_tot,continuous,-0.24194365444035493,0.14488879195153379,-1.669857627919809,0.09494753540485475,707,29,rrs_tot_z,True,,0.3921072825584334,False,False
PC1,sris,continuous,0.21410452288707862,0.12564212552647752,1.70408230511795,0.08836571191764739,707,29,sris_z,True,,0.3921072825584334,False,False
PC3,condition,experimental,-0.13396266349914618,0.08051567194378635,-1.663808551367179,0.09615069453831583,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]",True,,0.3921072825584334,False,False
PC2,rrs_tot,continuous,-0.16576730023828198,0.10149072125941001,-1.6333246840820177,0.10240072794800847,707,29,rrs_tot_z,True,,0.39321879532035253,False,False
valence,condition,experimental,0.08751415721054666,0.05852355208036403,1.4953664652885899,0.13481882749612023,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]",True,,0.4793558310973164,False,False
time,group,experimental,-0.17816764034536847,0.11776487734811061,-1.5129098281035738,0.13030256511440885,707,29,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.4793558310973164,False,False
time,age,continuous,-0.08761055051498969,0.059903562206043225,-1.462526555827281,0.1435969726856759,707,29,age_z,True,,0.48834009294738784,False,False
confidence,age,continuous,0.21199665570708992,0.14687524491296197,1.4433790788414942,0.14891371427141428,707,29,age_z,True,,0.48834009294738784,False,False
PC1,group,experimental,-0.3816005969836482,0.26678156165753375,-1.430385948012056,0.1526062790460587,707,29,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.48834009294738784,False,False
PC3,condition_x_group,experimental,-0.23074979598608916,0.16440130374249798,-1.403576436033092,0.16044501607382589,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.49686198526088016,False,False
PC1,self_esteem,continuous,0.18446518228123465,0.13578642015404851,1.3584950694772018,0.17430664603579904,707,29,self_esteem_z,True,,0.5229199381073971,False,False
onoff,bdi,continuous,-0.07633153916962117,0.0693795575510374,-1.1002021613278479,0.2712440491156616,707,29,bdi_z,True,,0.5810294915708655,False,False
onoff,self_esteem,continuous,0.07167270478615452,0.06342343629116678,1.130066564938498,0.25844817699332556,707,29,self_esteem_z,True,,0.5810294915708655,False,False
valence,a_rsq,continuous,-0.1339411596794564,0.10803033100977939,-1.2398477207973329,0.2150317236704109,707,29,a_rsq_z,True,,0.5810294915708655,False,False
time,mwq,continuous,-0.07556506447466942,0.06761221013349532,-1.117624528549973,0.26372738827543474,707,29,mwq_z,True,,0.5810294915708655,False,False
selfother,mwq,continuous,-0.12410814397552662,0.12161158676345847,-1.0205289420071797,0.30747767031524664,707,29,mwq_z,True,,0.5810294915708655,False,False
selfother,self_esteem,continuous,0.11362832530765944,0.10841770376031958,1.04806061525578,0.2946106805092935,707,29,self_esteem_z,True,,0.5810294915708655,False,False
selfother,ctq_tot,continuous,0.108207458636789,0.09757632524914645,1.108951975394621,0.2674509000957066,707,29,ctq_tot_z,True,,0.5810294915708655,False,False
selfother,sris,continuous,0.11320020724994734,0.10089748375111648,1.121932906961069,0.26189096786086485,707,29,sris_z,True,,0.5810294915708655,False,False
confidence,group,experimental,-0.2978898736325036,0.29261901311558774,-1.0180127069010168,0.30867191739702227,707,29,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.5810294915708655,False,False
confidence,fne,continuous,-0.16632745414419428,0.1502491171703253,-1.1070111909918396,0.26828908991575295,707,29,fne_z,True,,0.5810294915708655,False,False
PC1,condition,experimental,-0.06482913732211254,0.061918346669720084,-1.0470101481862713,0.2950948977430994,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]",True,,0.5810294915708655,False,False
PC2,group,experimental,0.240988597752624,0.20312176715560773,1.1864242869057318,0.23545478519116037,707,29,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.5810294915708655,False,False
PC2,condition_x_group,experimental,0.18137289688563324,0.1495797251118335,1.2125500080310316,0.22530191209383998,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.5810294915708655,False,False
PC2,age,continuous,0.10927388919845618,0.105767656782208,1.0331503270746374,0.30153355448740304,707,29,age_z,True,,0.5810294915708655,False,False
PC2,self_esteem,continuous,0.12615478680862324,0.1069516934613514,1.1795492219504795,0.23817954885374326,707,29,self_esteem_z,True,,0.5810294915708655,False,False
PC2,ctq_tot,continuous,0.11181322007342569,0.09562227963585496,1.169321841094235,0.24227398663114863,707,29,ctq_tot_z,True,,0.5810294915708655,False,False
PC3,group,experimental,-0.19694222015807802,0.18385092644268924,-1.0712060252765148,0.28407680301478466,707,29,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.5810294915708655,False,False
PC3,a_rsq,continuous,0.08392995557814435,0.07892003106678148,1.0634810255855514,0.28756386546043544,707,29,a_rsq_z,True,,0.5810294915708655,False,False
PC3,sris,continuous,0.10977057090864537,0.09365700116377275,1.1720487475004215,0.24117748528657235,707,29,sris_z,True,,0.5810294915708655,False,False
onoff,sris,continuous,0.05984122501356387,0.05990722585168305,0.9988982825163264,0.3178439683179025,707,29,sris_z,True,,0.5867888645868969,False,False
onoff,age,continuous,0.06178739540744821,0.06400948082717556,0.9652850579162338,0.3344020537710838,707,29,age_z,True,,0.6057093804155479,False,False
time,ctq_tot,continuous,-0.05288706670663042,0.05762895418000326,-0.9177169264852244,0.3587670837170335,707,29,ctq_tot_z,True,,0.6378081488302817,False,False
confidence,mwq,continuous,-0.15177119383764454,0.1703484145104657,-0.8909457377328285,0.3729582813885186,707,29,mwq_z,True,,0.6509817275145052,False,False
PC1,a_rsq,continuous,-0.1018864118579803,0.12093609641753034,-0.842481400310944,0.39951854648713425,707,29,a_rsq_z,True,,0.6848889368350872,False,False
selfother,age,continuous,0.08834864213308018,0.10856924383698441,0.8137538681372299,0.4157859676523109,707,29,age_z,True,,0.7002711034144183,False,False
valence,sris,continuous,0.09012333616184785,0.11820771208921343,0.7624150283344473,0.44581233959003486,707,29,sris_z,True,,0.7347559408067346,False,False
selfother,group,experimental,0.15578999444079053,0.20694677082488303,0.7528022487126362,0.4515687552874723,707,29,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.7347559408067346,False,False
valence,ctq_tot,continuous,-0.07909662331965374,0.11442417405354463,-0.691257979128087,0.4894034338725963,707,29,ctq_tot_z,True,,0.743496486063681,False,False
time,rrs_tot,continuous,-0.043111622245326844,0.06159855872573811,-0.69988037280673,0.4840020156973206,707,29,rrs_tot_z,True,,0.743496486063681,False,False
selfother,condition_x_group,experimental,0.08677206719321488,0.1254967758474755,0.6914286570889653,0.4892962003011403,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.743496486063681,False,False
PC1,age,continuous,0.09376385759689602,0.13978290519751174,0.6707820063147829,0.5023594119039507,707,29,age_z,True,,0.743496486063681,False,False
PC2,sris,continuous,0.0688836745843719,0.10250420860493586,0.6720082572400345,0.5015784396156555,707,29,sris_z,True,,0.743496486063681,False,False
PC3,bdi,continuous,0.070300195919718,0.10506123397830969,0.6691354485159746,0.5034090791056174,707,29,bdi_z,True,,0.743496486063681,False,False
valence,bdi,continuous,-0.08691877850389287,0.13866608270213424,-0.626820753930154,0.5307767376910588,707,29,bdi_z,True,,0.7720388911869946,False,False
onoff,a_rsq,continuous,-0.033708832126690964,0.05565129634111531,-0.6057151287199539,0.5447039361353123,707,29,a_rsq_z,True,,0.7754343046378052,False,False
time,condition_x_group,experimental,-0.08775889202799952,0.15590303384720067,-0.5629068906639195,0.5734982878050434,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.7754343046378052,False,False
time,a_rsq,continuous,0.028476184532004158,0.05001583875987165,0.5693433367921636,0.5691231623423592,707,29,a_rsq_z,True,,0.7754343046378052,False,False
PC2,condition,experimental,0.04125302992409689,0.07279620159175167,0.566692066647213,0.5709234117577096,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]",True,,0.7754343046378052,False,False
PC2,mwq,continuous,-0.06957115281375162,0.1206973056672864,-0.5764101562095438,0.5643379812284719,707,29,mwq_z,True,,0.7754343046378052,False,False
onoff,rrs_tot,continuous,-0.03533137973110345,0.0641778886499387,-0.5505226250713874,0.5819609629935029,707,29,rrs_tot_z,True,,0.7759479506580038,False,False
PC3,self_esteem,continuous,-0.05189676677942166,0.09694955098515674,-0.5352966182109209,0.5924447644733106,707,29,self_esteem_z,True,,0.779105443690929,False,False
onoff,condition_x_group,experimental,0.03134978160773615,0.06969117503613695,0.4498386143077708,0.6528268125877671,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.8449464936157787,False,False
PC3,ctq_tot,continuous,-0.03911394532261175,0.08894482432529409,-0.439755158541457,0.6601144481373271,707,29,ctq_tot_z,True,,0.8449464936157787,False,False
PC2,bdi,continuous,-0.04903270090140682,0.11750355193675519,-0.41728696786798464,0.6764685196103073,707,29,bdi_z,True,,0.8524755602066462,False,False
PC3,rrs_tot,continuous,-0.03908258241477027,0.095945256580858,-0.40734251809346483,0.6837564389157474,707,29,rrs_tot_z,True,,0.8524755602066462,False,False
valence,age,continuous,0.03980356731892918,0.1281229748801994,0.3106668991736046,0.7560538635296924,707,29,age_z,True,,0.8567726691920241,False,False
time,condition,experimental,-0.024948418517174803,0.07615547194825352,-0.32759850184011563,0.7432152548428101,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]",True,,0.8567726691920241,False,False
time,sris,continuous,-0.024245659010664892,0.06517792726060344,-0.3719918694824788,0.7098989028870039,707,29,sris_z,True,,0.8567726691920241,False,False
selfother,condition,experimental,-0.02282282498155085,0.06102405445836731,-0.3739971915029238,0.7084064056727507,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]",True,,0.8567726691920241,False,False
selfother,bdi,continuous,-0.03676140377037482,0.11961980630475459,-0.30731870336521055,0.7586008008471047,707,29,bdi_z,True,,0.8567726691920241,False,False
confidence,bdi,continuous,0.058116859871779926,0.16803560160316114,0.34586039694749193,0.7294476326072954,707,29,bdi_z,True,,0.8567726691920241,False,False
confidence,a_rsq,continuous,0.04516346702721446,0.13233361616024786,0.3412849156371899,0.732889102555317,707,29,a_rsq_z,True,,0.8567726691920241,False,False
PC1,bdi,continuous,-0.04929370496571742,0.15316834468240748,-0.3218269745483459,0.7475837778412998,707,29,bdi_z,True,,0.8567726691920241,False,False
time,fne,continuous,0.019097198699965446,0.06741576042316497,0.28327498763039083,0.7769660493294157,707,29,fne_z,True,,0.8581790308129436,False,False
time,self_esteem,continuous,0.01706486136276129,0.06281120728328549,0.27168497630999,0.7858642540996893,707,29,self_esteem_z,True,,0.8581790308129436,False,False
confidence,self_esteem,continuous,-0.04167062821438605,0.15396786984036726,-0.2706449615597712,0.7866641115785316,707,29,self_esteem_z,True,,0.8581790308129436,False,False
onoff,ctq_tot,continuous,-0.012394654933930119,0.0584259365932931,-0.21214302511246247,0.8319954543350082,707,29,ctq_tot_z,True,,0.8974332990579863,False,False
onoff,fne,continuous,-0.009843168252903548,0.06357235456757154,-0.1548340991907287,0.8769521081022629,707,29,fne_z,True,,0.935415581975747,False,False
PC1,ctq_tot,continuous,-0.012389327040652766,0.12694850509224073,-0.09759332755947529,0.9222552230498013,707,29,ctq_tot_z,True,,0.9729285869536366,False,False
time,bdi,continuous,-0.0003087887223783006,0.0678933233659438,-0.004548145635969754,0.9963711173277344,707,29,bdi_z,True,,0.9963711173277344,False,False
confidence,ctq_tot,continuous,0.0009015344253808724,0.14049720214388378,0.0064167429075036465,0.9948802150376598,707,29,ctq_tot_z,True,,0.9963711173277344,False,False
PC1,condition_x_group,experimental,0.001976675637520281,0.126971293813437,0.015567893955815511,0.9875791194898287,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.9963711173277344,False,False
PC3,mwq,continuous,-0.005584069162657031,0.10900499059496456,-0.05122764684606087,0.9591441217644983,707,29,mwq_z,True,,0.9963711173277344,False,False
PC3,fne,continuous,0.0006826451941323491,0.09972523073341084,0.006845260613707893,0.9945383148952534,707,29,fne_z,True,,0.9963711173277344,False,False
