dv,predictor,predictor_type,beta,se,t_value,p_value,n_obs,n_subjects,coef_name,converged,error,p_fdr,significant_uncorrected,significant_fdr
valence,fne,continuous,-0.3893247303372532,0.10322904745847458,-3.7714649115004653,0.00016229198163743045,707,29,fne_z,True,,0.015580030237193324,True,True
onoff,group,experimental,-0.4003521084670795,0.12235470461928986,-3.2720614194017834,0.0010676637931162048,707,29,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.051247862069577835,True,False
confidence,condition,experimental,-0.2547843336491359,0.08969812126662008,-2.8404645498851755,0.004504787953304363,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]",True,,0.08649192870344377,True,False
PC1,fne,continuous,-0.3624543754247911,0.12102049265410887,-2.9949834732596017,0.002744597121175723,707,29,fne_z,True,,0.08649192870344377,True,False
PC2,fne,continuous,-0.2733723769390349,0.09454518243977492,-2.8914469239421323,0.0038347235957774816,707,29,fne_z,True,,0.08649192870344377,True,False
selfother,fne,continuous,-0.2623087296475525,0.09682637051652045,-2.7090629159005557,0.006747354331728628,707,29,fne_z,True,,0.09310441565001774,True,False
PC1,rrs_tot,continuous,-0.3358044667248835,0.12404915298309287,-2.7070274858761154,0.006788863641147128,707,29,rrs_tot_z,True,,0.09310441565001774,True,False
valence,self_esteem,continuous,0.2930715528386731,0.11471947835144773,2.5546799641194027,0.010628547078707074,707,29,self_esteem_z,True,,0.1275425649444849,True,False
valence,rrs_tot,continuous,-0.2765841395483847,0.11459101970794458,-2.413663306717299,0.015793048758495947,707,29,rrs_tot_z,True,,0.1684591867572901,True,False
PC2,a_rsq,continuous,-0.1917059229623331,0.0810510209136488,-2.3652499475185547,0.018017906069850473,707,29,a_rsq_z,True,,0.17297189827056453,True,False
confidence,condition_x_group,experimental,-0.4122445914667577,0.18330871575082286,-2.2489088409038573,0.02451829641334197,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.2139778596073481,True,False
valence,condition_x_group,experimental,0.25702079773517095,0.11775748060927478,2.182628198271147,0.029063201457983336,707,29,"C(condition, Treatment(reference='baseline'))[T.inclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.22524550593008957,True,False
selfother,rrs_tot,continuous,-0.21805489803738135,0.10078757411764681,-2.1635097376473347,0.030501995594699627,707,29,rrs_tot_z,True,,0.22524550593008957,True,False
valence,mwq,continuous,-0.2785324343516072,0.13234977085024738,-2.104517692491997,0.035333312936705885,707,29,mwq_z,True,,0.23361956413431312,True,False
confidence,sris,continuous,0.28862628312028393,0.13801423747696548,2.091279047702999,0.03650305689598642,707,29,sris_z,True,,0.23361956413431312,True,False
valence,group,experimental,-0.48413700714394003,0.242784080777107,-1.9941052378488198,0.0461405549581643,707,29,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",True,,0.26055842799904544,True,False
PC3,age,continuous,0.17683256258682226,0.0885164163667869,1.9977374801763137,0.04574512854505837,707,29,age_z,True,,0.26055842799904544,True,False
selfother,a_rsq,continuous,-0.1718654509851835,0.08732408809634871,-1.9681333608151323,0.04905269525612887,707,29,a_rsq_z,True,,0.26161437469935395,True,False
PC1,mwq,continuous,-0.28435248109055544,0.14827887034613083,-1.9176871284950094,0.055150694798544536,707,29,mwq_z,True,,0.2786561421400145,False,False
onoff,mwq,continuous,-0.12724698965230155,0.0695181251515129,-1.8304145771332316,0.06718796958584684,707,29,mwq_z,True,,0.32250225401206484,False,False
