,condition,group,condition_x_group,age,bdi,rrs_tot,mwq,fne,self_esteem,ctq_tot,a_rsq,sris
onoff,0.09802682063960835,0.0010676637931162048,0.6528268125877671,0.3344020537710838,0.2712440491156616,0.5819609629935029,0.06718796958584684,0.8769521081022629,0.25844817699332556,0.8319954543350082,0.5447039361353123,0.3178439683179025
valence,0.13481882749612023,0.0461405549581643,0.029063201457983336,0.7560538635296924,0.5307767376910588,0.015793048758495947,0.035333312936705885,0.00016229198163743045,0.010628547078707074,0.4894034338725963,0.2150317236704109,0.44581233959003486
time,0.7432152548428101,0.13030256511440885,0.5734982878050434,0.1435969726856759,0.9963711173277344,0.4840020156973206,0.26372738827543474,0.7769660493294157,0.7858642540996893,0.3587670837170335,0.5691231623423592,0.7098989028870039
selfother,0.7084064056727507,0.4515687552874723,0.4892962003011403,0.4157859676523109,0.7586008008471047,0.030501995594699627,0.30747767031524664,0.006747354331728628,0.2946106805092935,0.2674509000957066,0.04905269525612887,0.26189096786086485
confidence,0.004504787953304363,0.30867191739702227,0.02451829641334197,0.14891371427141428,0.7294476326072954,0.09494753540485475,0.3729582813885186,0.26828908991575295,0.7866641115785316,0.9948802150376598,0.732889102555317,0.03650305689598642
PC1,0.2950948977430994,0.1526062790460587,0.9875791194898287,0.5023594119039507,0.7475837778412998,0.006788863641147128,0.055150694798544536,0.002744597121175723,0.17430664603579904,0.9222552230498013,0.39951854648713425,0.08836571191764739
PC2,0.5709234117577096,0.23545478519116037,0.22530191209383998,0.30153355448740304,0.6764685196103073,0.10240072794800847,0.5643379812284719,0.0038347235957774816,0.23817954885374326,0.24227398663114863,0.018017906069850473,0.5015784396156555
PC3,0.09615069453831583,0.28407680301478466,0.16044501607382589,0.04574512854505837,0.5034090791056174,0.6837564389157474,0.9591441217644983,0.9945383148952534,0.5924447644733106,0.6601144481373271,0.28756386546043544,0.24117748528657235
