,condition,group,condition_x_group,age,bdi,rrs_tot,mwq,fne,self_esteem,ctq_tot,a_rsq,sris
onoff,-0.05614778273094413,-0.4003521084670795,0.03134978160773615,0.06178739540744821,-0.07633153916962117,-0.03533137973110345,-0.12724698965230155,-0.009843168252903548,0.07167270478615452,-0.012394654933930119,-0.033708832126690964,0.05984122501356387
valence,0.08751415721054666,-0.48413700714394003,0.25702079773517095,0.03980356731892918,-0.08691877850389287,-0.2765841395483847,-0.2785324343516072,-0.3893247303372532,0.2930715528386731,-0.07909662331965374,-0.1339411596794564,0.09012333616184785
time,-0.024948418517174803,-0.17816764034536847,-0.08775889202799952,-0.08761055051498969,-0.0003087887223783006,-0.043111622245326844,-0.07556506447466942,0.019097198699965446,0.01706486136276129,-0.05288706670663042,0.028476184532004158,-0.024245659010664892
selfother,-0.02282282498155085,0.15578999444079053,0.08677206719321488,0.08834864213308018,-0.03676140377037482,-0.21805489803738135,-0.12410814397552662,-0.2623087296475525,0.11362832530765944,0.108207458636789,-0.1718654509851835,0.11320020724994734
confidence,-0.2547843336491359,-0.2978898736325036,-0.4122445914667577,0.21199665570708992,0.058116859871779926,-0.24194365444035493,-0.15177119383764454,-0.16632745414419428,-0.04167062821438605,0.0009015344253808724,0.04516346702721446,0.28862628312028393
PC1,-0.06482913732211254,-0.3816005969836482,0.001976675637520281,0.09376385759689602,-0.04929370496571742,-0.3358044667248835,-0.28435248109055544,-0.3624543754247911,0.18446518228123465,-0.012389327040652766,-0.1018864118579803,0.21410452288707862
PC2,0.04125302992409689,0.240988597752624,0.18137289688563324,0.10927388919845618,-0.04903270090140682,-0.16576730023828198,-0.06957115281375162,-0.2733723769390349,0.12615478680862324,0.11181322007342569,-0.1917059229623331,0.0688836745843719
PC3,-0.13396266349914618,-0.19694222015807802,-0.23074979598608916,0.17683256258682226,0.070300195919718,-0.03908258241477027,-0.005584069162657031,0.0006826451941323491,-0.05189676677942166,-0.03911394532261175,0.08392995557814435,0.10977057090864537
