Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,baseline,259,54.94980694980695,21.33366770786411,1.3256096111582878
Controls,inclusion,147,57.08163265306123,20.535472218432062,1.6937372018925476
Controls,exclusion,190,55.17368421052632,21.27363527428604,1.5433517144997106
Risk of Depression,baseline,194,51.118556701030926,15.476921343702427,1.1111781948996164
Risk of Depression,inclusion,122,50.368852459016395,19.192888154133033,1.7376424477450505
Risk of Depression,exclusion,116,47.956896551724135,17.478629058456455,1.6228499669406586
