predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,0.20380952380951717,2.460664668125875,0.08282702086536048,0.9339890833996692,-4.619004603747403,5.026623651366437,False,False
group_bdi3[T.Controls High BDI],-2.9718367346938757,3.5415013731056413,-0.8391460066236792,0.40138738176192634,-9.91305187718008,3.96937840779233,False,False
group_bdi3[T.Risk of Depression],-7.136692205460266,3.7662580669140664,-1.8949026005824952,0.05810530659099204,-14.51842237309528,0.2450379621747496,False,False
inclusion_exclusion[T.inclusion],-0.38447144251911997,2.9264525908367287,-0.13137798429503764,0.8954763036854878,-6.1202131230230385,5.351270237984799,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],3.215753633327701,4.229870067888038,0.7602487976500226,0.4471058814316343,-5.074639359016848,11.50614662567225,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],10.923703330519075,4.43581155301889,2.4626166373286766,0.013792730301219882,2.2296724443953657,19.617734216642784,True,False
probe_number,-0.07547619047618961,0.22594038949003412,-0.33405355565928485,0.738339146005346,-0.5183112165296087,0.36735883557722937,False,False
group_bdi3[T.Controls High BDI]:probe_number,0.29588435374149646,0.32518376436412766,0.9098989130655892,0.362875823067223,-0.3414641127693532,0.9332328202523461,False,False
group_bdi3[T.Risk of Depression]:probe_number,0.747229437229438,0.3473635179561525,2.1511454099326586,0.031464724249176866,0.06640945249224672,1.4280494219666293,True,False
inclusion_exclusion[T.inclusion]:probe_number,0.07033735660405045,0.3231798019680928,0.21764156106202076,0.8277083995675155,-0.5630834157841983,0.7037581289922993,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,0.008690684474915932,0.4661537852625329,0.018643384972239215,0.9851255926385516,-0.9049539458966668,0.9223353148464987,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,-1.5206620319287276,0.48771801577113916,-3.117912364841359,0.0018213695236618279,-2.4765717774514986,-0.5647522864059568,True,True
subject_id Var,0.12836496537385159,0.03885054845189246,3.304070868724088,0.0009529174016562437,0.05221928962851401,0.20451064111918915,True,True
