valence,selfother,time,Cluster,subject_id,task,probe_number
94.0,4.0,83.0,0,5,Sart2,12.0
46.0,4.0,92.0,2,5,Sart2,13.0
86.0,82.0,70.0,1,5,Sart2,14.0
53.0,96.0,7.0,3,5,Sart2,15.0
53.0,99.0,99.0,1,5,Sart3,1.0
55.0,8.0,9.0,3,5,Sart3,2.0
88.0,5.0,92.0,0,5,Sart3,3.0
21.0,96.0,93.0,2,5,Sart3,4.0
50.0,6.0,94.0,2,5,Sart3,5.0
87.0,92.0,88.0,1,5,Sart3,6.0
53.0,4.0,98.0,0,5,Sart3,7.0
43.0,4.0,98.0,2,5,Sart3,8.0
46.0,84.0,87.0,1,5,Sart3,9.0
54.0,98.0,82.0,1,5,Sart3,10.0
91.0,5.0,93.0,0,5,Sart3,11.0
77.0,15.0,2.0,3,5,Sart3,14.0
85.0,76.0,90.0,1,5,Sart4,2.0
87.0,90.0,78.0,1,5,Sart4,3.0
84.0,93.0,1.0,3,5,Sart4,4.0
86.0,89.0,85.0,1,5,Sart4,6.0
52.0,9.0,92.0,2,5,Sart4,7.0
73.0,80.0,90.0,1,5,Sart4,8.0
96.0,97.0,95.0,1,5,Sart4,11.0
52.0,87.0,95.0,1,5,Sart4,13.0
93.0,2.0,96.0,0,5,Sart4,14.0
15.0,6.0,95.0,2,5,Sart4,15.0
65.0,1.0,62.0,0,6,Sart1,1.0
43.0,8.0,48.0,2,6,Sart1,2.0
67.0,87.0,35.0,1,6,Sart1,3.0
74.0,32.0,18.0,3,6,Sart1,4.0
94.0,89.0,12.0,3,6,Sart1,5.0
58.0,38.0,31.0,3,6,Sart1,6.0
59.0,74.0,86.0,1,6,Sart1,8.0
27.0,14.0,53.0,2,6,Sart1,10.0
50.0,67.0,35.0,2,6,Sart1,11.0
61.0,39.0,58.0,0,6,Sart1,12.0
63.0,33.0,36.0,0,6,Sart2,1.0
60.0,93.0,46.0,1,6,Sart2,2.0
61.0,79.0,51.0,1,6,Sart2,3.0
25.0,98.0,51.0,2,6,Sart2,4.0
49.0,58.0,52.0,2,6,Sart2,5.0
92.0,96.0,94.0,1,6,Sart2,6.0
71.0,74.0,1.0,3,6,Sart2,7.0
36.0,65.0,52.0,2,6,Sart2,8.0
65.0,37.0,29.0,3,6,Sart2,10.0
30.0,97.0,1.0,3,6,Sart2,11.0
39.0,3.0,8.0,2,6,Sart2,12.0
57.0,42.0,26.0,3,6,Sart2,13.0
86.0,85.0,89.0,1,6,Sart2,14.0
41.0,38.0,54.0,2,6,Sart2,15.0
59.0,56.0,62.0,1,6,Sart4,1.0
65.0,92.0,66.0,1,6,Sart4,2.0
59.0,52.0,62.0,0,6,Sart4,3.0
38.0,8.0,61.0,2,6,Sart4,4.0
40.0,35.0,16.0,2,6,Sart4,5.0
48.0,63.0,61.0,2,6,Sart4,6.0
68.0,76.0,79.0,1,6,Sart4,7.0
70.0,43.0,28.0,3,6,Sart4,8.0
29.0,73.0,26.0,2,6,Sart4,9.0
51.0,59.0,46.0,2,6,Sart4,10.0
44.0,68.0,52.0,2,6,Sart4,11.0
83.0,76.0,26.0,3,6,Sart4,12.0
79.0,2.0,97.0,0,6,Sart4,13.0
68.0,55.0,43.0,1,8,Sart1,1.0
90.0,6.0,25.0,3,8,Sart1,2.0
77.0,9.0,84.0,0,8,Sart1,3.0
52.0,51.0,49.0,2,8,Sart1,4.0
56.0,42.0,49.0,2,8,Sart1,5.0
60.0,23.0,47.0,2,8,Sart1,6.0
48.0,8.0,14.0,2,8,Sart1,7.0
87.0,19.0,64.0,0,8,Sart1,8.0
67.0,45.0,95.0,1,8,Sart1,9.0
63.0,25.0,61.0,2,8,Sart1,10.0
