predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-4.302857142857126,3.413322286728598,-1.2606067582856575,0.20745056250900973,-10.992845892473078,2.3871316067588264,False,False
group_bdi3[T.Controls High BDI],-2.7345578231293035,4.912609882153613,-0.5566405411232278,0.5777730487951416,-12.363096262245945,6.893980615987337,False,False
group_bdi3[T.Risk of Depression],-11.451873166829609,5.20505912142741,-2.200142764889307,0.027796767564903655,-21.65360158222903,-1.2501447514301898,True,False
inclusion_exclusion[T.inclusion],3.8638532657734483,3.6329194661424142,1.0635670021819255,0.2875248974093535,-3.2565380466001637,10.98424457814706,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],1.224601653914788,5.251618506505244,0.23318556981963923,0.8156173106362764,-9.068381479379518,11.517584787209092,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],4.670242123278296,5.507759591440871,0.8479386301711339,0.39647214937578446,-6.124768311450852,15.465252558007444,False,False
probe_number,-0.17880952380952553,0.2804769373828705,-0.6375195246995945,0.5237864962607892,-0.7285342195740476,0.37091517195499657,False,False
group_bdi3[T.Controls High BDI]:probe_number,-0.4010374149659838,0.4036752637336958,-0.9934654188534767,0.32048319478979104,-1.1922263933337354,0.3901515634017678,False,False
group_bdi3[T.Risk of Depression]:probe_number,0.1291341991342032,0.431208673645217,0.29947031919040246,0.764581215319479,-0.716019271031708,0.9742876693001145,False,False
inclusion_exclusion[T.inclusion]:probe_number,-0.1389235701593348,0.40123910372424143,-0.34623636846425726,0.7291650849350049,-0.9253377626479791,0.6474906223293095,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,-0.11966623247139854,0.5787176594194375,-0.2067782631541713,0.8361830327618551,-1.2539320021508134,1.014599537208016,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,-0.3956272956415328,0.6054754880961063,-0.6534158746633446,0.5134882074117884,-1.5823374458317114,0.7910828545486459,False,False
subject_id Var,0.23369683507111416,0.06342950267805057,3.6843554687365323,0.0002292820805848903,0.10937729426484813,0.3580163758773802,True,True
