predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,74.19105194683053,3.122479040915284,23.760304224518702,8.598063578948548e-125,68.0711054841554,80.31099840950566,True,True
group[T.Risk of Depression],-2.913989820522895,5.320040304310474,-0.5477382978023462,0.5838716112370403,-13.341077213272934,7.513097572227144,False,False
subject_id Var,0.6965037634253257,0.19252694550699417,3.6176949755847185,0.0002972384008717298,0.3191578841781116,1.07384964267254,True,True
