Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,baseline,259,75.24710424710425,19.4866467227392,1.2108413114256507
Controls,inclusion,147,75.87755102040816,18.079314585437924,1.4911567346666448
Controls,exclusion,190,75.01052631578948,18.503535905101145,1.342387584220874
Risk of Depression,baseline,194,66.13917525773196,25.42643989921515,1.8255119970245097
Risk of Depression,inclusion,122,60.40983606557377,26.242906668014626,2.3759211335128883
Risk of Depression,exclusion,116,74.85344827586206,22.661691218343837,2.1040852072271425
