subject,auc,subject_median,dist_from_50
03,0.4761904761904762,44.0,6.0
05,0.49111111111111116,16.0,34.0
06,0.5614814814814815,22.0,28.0
10,0.5805860805860805,48.0,2.0
12,0.6210526315789473,23.0,27.0
14,0.7794117647058825,80.0,30.0
15,0.8083333333333333,75.0,25.0
17,0.7125,76.0,26.0
19,0.28,50.5,0.5
21,0.6716791979949874,82.0,32.0
22,0.6918767507002801,76.0,26.0
23,0.7037037037037037,73.0,23.0
24,0.7074829931972788,72.0,22.0
25,0.7305236270753511,60.5,10.5
27,0.5146871008939975,58.0,8.0
28,0.6659090909090909,55.0,5.0
29,0.4301994301994302,22.0,28.0
30,0.8561872909698998,51.0,1.0
31,0.48545454545454547,33.0,17.0
32,0.8131868131868132,38.0,12.0
34,0.6975308641975309,50.0,0.0
35,0.7472000000000001,27.0,23.0
37,0.842391304347826,47.0,3.0
38,0.4263157894736842,26.0,24.0
39,0.781578947368421,81.0,31.0
40,0.5833333333333334,51.0,1.0
41,0.6266666666666667,58.0,8.0
42,0.6728571428571429,32.0,18.0
43,0.3958333333333333,87.0,37.0
