subject,auc,subject_median,dist_from_50
02,0.8444444444444444,86.0,36.0
03,0.7395833333333334,43.5,6.5
04,0.4189560439560439,86.0,36.0
05,0.4391025641025641,74.0,24.0
06,0.5916666666666667,55.0,5.0
08,0.5477272727272726,66.5,16.5
10,0.16666666666666666,48.0,2.0
12,0.5555555555555556,49.5,0.5
15,0.5,49.0,1.0
18,0.41071428571428575,88.0,38.0
19,0.7,61.0,11.0
21,0.2976190476190476,58.5,8.5
22,0.43506493506493504,55.0,5.0
24,0.6263736263736264,68.0,18.0
25,0.7280701754385965,59.0,9.0
26,0.5215384615384615,75.0,25.0
27,0.4666666666666667,92.5,42.5
28,0.4807692307692308,49.0,1.0
29,0.3529411764705882,54.0,4.0
30,0.4580419580419581,48.0,2.0
31,0.8571428571428571,55.0,5.0
32,0.6296296296296297,61.0,11.0
34,0.5203703703703704,72.0,22.0
35,0.6066666666666666,38.0,12.0
36,0.612781954887218,49.0,1.0
37,0.46581196581196577,48.0,2.0
38,0.3571428571428572,66.5,16.5
39,0.44,84.5,34.5
40,0.41729323308270677,51.0,1.0
42,0.3854166666666667,58.0,8.0
43,0.6613636363636364,89.0,39.0
