feature_name,mean_importance,std_importance,rank
slowwaves_PTP_mean_frontal_right_trimmean,0.014514889441061265,,1
slowwaves_Density_mean_posterior_left_trimmean,0.011098056815271904,,2
psd_relative_alpha_mean_central_mid_trimmean,0.009438681615931737,,3
PE_theta_mean_frontal_right_trimmean,0.009092821146469117,,4
wsmi_alpha_mean_central_mid_trimmean,0.009011362742959227,,5
PE_theta_mean_frontal_mid_trimmean,0.008978089358688048,,6
psd_relative_alpha_mean_frontal_right_trimmean,0.008912530062794476,,7
PE_alpha_mean_posterior_mid_trimmean,0.008306655685895904,,8
slowwaves_PTP_mean_frontal_left_trimmean,0.008305984671972457,,9
slowwaves_Density_mean_central_left_trimmean,0.008064280279612014,,10
wsmi_alpha_mean_posterior_right_trimmean,0.007982210640382254,,11
P3b_mean_centroparietal_midline_trimmean,0.007893060066515653,,12
kolmogorov_complexity_mean_frontal_left_trimmean,0.00784407981168394,,13
PE_beta_mean_posterior_mid_trimmean,0.0076418508571398655,,14
wsmi_alpha_mean_posterior_mid_trimmean,0.007630691696750429,,15
slowwaves_PTP_mean_central_left_trimmean,0.007628553926446512,,16
slowwaves_Slope_mean_posterior_left_trimmean,0.0074984107580001996,,17
psd_relative_alpha_mean_central_left_trimmean,0.007323045070500586,,18
slowwaves_PTP_mean_frontal_mid_trimmean,0.007159931489378596,,19
psd_relative_delta_mean_frontal_mid_trimmean,0.007157766362570211,,20
PE_theta_mean_central_right_trimmean,0.0071383318951229536,,21
wsmi_theta_mean_central_left_trimmean,0.007125126703500877,,22
wsmi_theta_mean_posterior_right_trimmean,0.007083063588765178,,23
P3a_mean_frontocentral_midline_trimmean,0.007076137710659512,,24
psd_relative_beta_mean_central_right_trimmean,0.007070390853921247,,25
kolmogorov_complexity_mean_central_mid_trimmean,0.007064917887975174,,26
kolmogorov_complexity_mean_frontal_mid_trimmean,0.007053070613603471,,27
psd_relative_beta_mean_posterior_right_trimmean,0.007049622078249894,,28
wsmi_beta_mean_posterior_mid_trimmean,0.007036873588002716,,29
psd_relative_delta_mean_central_mid_trimmean,0.006976333129977783,,30
slowwaves_Slope_mean_central_left_trimmean,0.006737235930137874,,31
wsmi_theta_mean_central_mid_trimmean,0.006724722205666267,,32
psd_relative_alpha_mean_posterior_right_trimmean,0.006675754669958469,,33
kolmogorov_complexity_mean_frontal_right_trimmean,0.006630240313661822,,34
wsmi_alpha_mean_frontal_mid_trimmean,0.00662854371802425,,35
psd_relative_beta_mean_central_mid_trimmean,0.006627277679686394,,36
PE_theta_mean_frontal_left_trimmean,0.006498046697066015,,37
slowwaves_PTP_mean_posterior_left_trimmean,0.006421136578758487,,38
wsmi_alpha_mean_frontal_left_trimmean,0.006415058749739803,,39
PE_beta_mean_posterior_left_trimmean,0.006392893422787416,,40
psd_relative_beta_mean_frontal_mid_trimmean,0.006373821465243529,,41
slowwaves_Frequency_mean_central_left_trimmean,0.006273698659686322,,42
PE_alpha_mean_frontal_mid_trimmean,0.006218765565251827,,43
slowwaves_Duration_mean_posterior_left_trimmean,0.006192177577895242,,44
slowwaves_Slope_mean_frontal_left_trimmean,0.006187456522816963,,45
slowwaves_Frequency_mean_frontal_left_trimmean,0.006177833384506748,,46
wsmi_gamma_mean_frontal_left_trimmean,0.006095005358126651,,47
PE_alpha_mean_central_left_trimmean,0.006091342585443763,,48
wsmi_theta_mean_frontal_right_trimmean,0.006058620865201483,,49
wsmi_alpha_mean_frontal_right_trimmean,0.006052329524813005,,50
psd_relative_theta_mean_frontal_mid_trimmean,0.0060453359604066646,,51
PE_theta_mean_central_mid_trimmean,0.006043007047863405,,52
psd_relative_alpha_mean_central_right_trimmean,0.006015446651178371,,53
psd_relative_delta_mean_frontal_right_trimmean,0.005983103585259028,,54
psd_relative_beta_mean_central_left_trimmean,0.00595135495313502,,55
slowwaves_Duration_mean_frontal_mid_trimmean,0.005927994795989489,,56
psd_relative_gamma_mean_posterior_right_trimmean,0.005897268675212581,,57
wsmi_gamma_mean_posterior_left_trimmean,0.005887941229215728,,58
PE_theta_mean_posterior_left_trimmean,0.005876305303032675,,59
psd_relative_alpha_mean_frontal_mid_trimmean,0.005874432119799175,,60
slowwaves_Density_mean_frontal_right_trimmean,0.005866179681924628,,61
wsmi_theta_mean_frontal_left_trimmean,0.005838410384272071,,62
psd_relative_beta_mean_posterior_mid_trimmean,0.005818058387852387,,63
slowwaves_PTP_mean_posterior_mid_trimmean,0.005810899214618997,,64
psd_relative_alpha_mean_posterior_mid_trimmean,0.0058098473808847985,,65
wsmi_gamma_mean_frontal_mid_trimmean,0.0057733484955674605,,66
PE_gamma_mean_posterior_mid_trimmean,0.005771155484506484,,67
slowwaves_Density_mean_posterior_right_trimmean,0.005770242609124474,,68
kolmogorov_complexity_mean_posterior_right_trimmean,0.005742315044496821,,69
psd_relative_theta_mean_frontal_right_trimmean,0.005728280652242417,,70
PE_alpha_mean_posterior_right_trimmean,0.0056741210693922245,,71
wsmi_gamma_mean_posterior_right_trimmean,0.005657377112291267,,72
psd_relative_delta_mean_posterior_right_trimmean,0.005631048534783307,,73
psd_relative_beta_mean_frontal_right_trimmean,0.005625324736381753,,74
wsmi_alpha_mean_central_left_trimmean,0.0056235200504908935,,75
PE_theta_mean_posterior_right_trimmean,0.005619164432340571,,76
slowwaves_Frequency_mean_frontal_right_trimmean,0.005585790963003984,,77
psd_relative_gamma_mean_posterior_mid_trimmean,0.005564192353140685,,78
slowwaves_Duration_mean_frontal_left_trimmean,0.0055582243174991785,,79
PE_alpha_mean_frontal_right_trimmean,0.005521831541768671,,80
slowwaves_PTP_mean_central_mid_trimmean,0.005481708181198755,,81
wsmi_gamma_mean_posterior_mid_trimmean,0.005480472835315039,,82
wsmi_alpha_mean_posterior_left_trimmean,0.005472356545446983,,83
wsmi_theta_mean_posterior_left_trimmean,0.005460426126218743,,84
wsmi_gamma_mean_central_left_trimmean,0.00544856234788154,,85
psd_relative_alpha_mean_posterior_left_trimmean,0.005396984705812469,,86
psd_relative_beta_mean_frontal_left_trimmean,0.005383390568281524,,87
slowwaves_Frequency_mean_posterior_left_trimmean,0.005378612199593088,,88
psd_relative_theta_mean_central_mid_trimmean,0.005374133565839705,,89
kolmogorov_complexity_mean_central_right_trimmean,0.005365259487798783,,90
kolmogorov_complexity_mean_posterior_mid_trimmean,0.005359102584974735,,91
slowwaves_Slope_mean_frontal_right_trimmean,0.005348368288466594,,92
slowwaves_Slope_mean_frontal_mid_trimmean,0.00530311300881838,,93
wsmi_alpha_mean_central_right_trimmean,0.005287355006365912,,94
wsmi_gamma_mean_central_right_trimmean,0.005262481837473463,,95
N1_mean_occipitoparietal_lateral_trimmean,0.005249223356965652,,96
psd_relative_gamma_mean_frontal_mid_trimmean,0.005209234015751128,,97
wsmi_gamma_mean_frontal_right_trimmean,0.005202638358449683,,98
psd_relative_gamma_mean_frontal_left_trimmean,0.005186320607619834,,99
PE_gamma_mean_posterior_right_trimmean,0.0051723952412902644,,100
P1_mean_occipitoparietal_lateral_trimmean,0.005164066902696804,,101
psd_relative_delta_mean_central_right_trimmean,0.005142347967368779,,102
wsmi_beta_mean_posterior_right_trimmean,0.005117418140054616,,103
psd_relative_delta_mean_posterior_mid_trimmean,0.005094850632173327,,104
psd_relative_theta_mean_posterior_right_trimmean,0.005043323967796723,,105
slowwaves_Slope_mean_posterior_right_trimmean,0.005029866248673945,,106
kolmogorov_complexity_mean_posterior_left_trimmean,0.00502981217736974,,107
psd_relative_theta_mean_posterior_left_trimmean,0.005022579812906869,,108
PE_beta_mean_frontal_mid_trimmean,0.005011101741447687,,109
slowwaves_Duration_mean_central_left_trimmean,0.005005982438110109,,110
psd_relative_gamma_mean_central_left_trimmean,0.00500343406272537,,111
slowwaves_Frequency_mean_posterior_right_trimmean,0.004974353139617174,,112
PE_gamma_mean_posterior_left_trimmean,0.004970139414494284,,113
wsmi_beta_mean_frontal_mid_trimmean,0.0049694750087539916,,114
psd_relative_alpha_mean_frontal_left_trimmean,0.00496233967896571,,115
psd_relative_theta_mean_central_left_trimmean,0.004959448983716863,,116
psd_relative_theta_mean_frontal_left_trimmean,0.00495837984195457,,117
PE_beta_mean_frontal_right_trimmean,0.00493107852307554,,118
PE_beta_mean_central_left_trimmean,0.004929115567666729,,119
PE_gamma_mean_central_left_trimmean,0.004917271316347454,,120
wsmi_beta_mean_central_right_trimmean,0.0048980246747444955,,121
PE_alpha_mean_central_mid_trimmean,0.004894074183518004,,122
PE_alpha_mean_central_right_trimmean,0.004892945830646115,,123
PE_gamma_mean_frontal_right_trimmean,0.004875767943901197,,124
psd_relative_gamma_mean_central_right_trimmean,0.004874900976070244,,125
psd_relative_theta_mean_central_right_trimmean,0.004837647037516404,,126
wsmi_beta_mean_central_left_trimmean,0.0048341720397936895,,127
psd_relative_delta_mean_posterior_left_trimmean,0.004827889805621806,,128
PE_beta_mean_posterior_right_trimmean,0.004825405237103718,,129
slowwaves_Frequency_mean_frontal_mid_trimmean,0.0048226009338554416,,130
PE_theta_mean_posterior_mid_trimmean,0.0048086679705074305,,131
wsmi_theta_mean_central_right_trimmean,0.004748954828786835,,132
slowwaves_Slope_mean_posterior_mid_trimmean,0.004745606469558333,,133
psd_relative_gamma_mean_frontal_right_trimmean,0.004726942474184738,,134
slowwaves_Slope_mean_central_mid_trimmean,0.004726703718948329,,135
slowwaves_Density_mean_central_mid_trimmean,0.004706069830836751,,136
PE_beta_mean_central_right_trimmean,0.004679944097814517,,137
wsmi_beta_mean_central_mid_trimmean,0.004677779448640122,,138
wsmi_theta_mean_frontal_mid_trimmean,0.004665037951902047,,139
wsmi_gamma_mean_central_mid_trimmean,0.0046561923741455895,,140
PE_gamma_mean_central_right_trimmean,0.004649878031068337,,141
slowwaves_Slope_mean_central_right_trimmean,0.0046316682719832305,,142
slowwaves_Duration_mean_posterior_mid_trimmean,0.004623300879821146,,143
psd_relative_delta_mean_frontal_left_trimmean,0.0046202855736047375,,144
wsmi_beta_mean_frontal_right_trimmean,0.004610622124137937,,145
psd_relative_delta_mean_central_left_trimmean,0.004602887573694419,,146
psd_relative_theta_mean_posterior_mid_trimmean,0.0046022129576366805,,147
PE_gamma_mean_frontal_mid_trimmean,0.004595229051315008,,148
slowwaves_PTP_mean_central_right_trimmean,0.004589778136920965,,149
slowwaves_Density_mean_frontal_left_trimmean,0.004581696657353433,,150
PE_alpha_mean_frontal_left_trimmean,0.00458007653081256,,151
slowwaves_PTP_mean_posterior_right_trimmean,0.004562458121306536,,152
kolmogorov_complexity_mean_central_left_trimmean,0.004549926844024925,,153
PE_alpha_mean_posterior_left_trimmean,0.0045390069704897085,,154
psd_relative_beta_mean_posterior_left_trimmean,0.004529134562139458,,155
slowwaves_Duration_mean_central_right_trimmean,0.004529126231931938,,156
wsmi_beta_mean_frontal_left_trimmean,0.004513897080656687,,157
psd_relative_gamma_mean_posterior_left_trimmean,0.004458463526067301,,158
slowwaves_Frequency_mean_posterior_mid_trimmean,0.004443030898603134,,159
wsmi_theta_mean_posterior_mid_trimmean,0.004436050380619774,,160
slowwaves_Duration_mean_posterior_right_trimmean,0.004426511267553742,,161
slowwaves_Duration_mean_frontal_right_trimmean,0.004407113350343056,,162
slowwaves_Duration_mean_central_mid_trimmean,0.004374077439284795,,163
PE_theta_mean_central_left_trimmean,0.00435525501606914,,164
PE_beta_mean_central_mid_trimmean,0.004301936235889255,,165
slowwaves_Frequency_mean_central_mid_trimmean,0.004241356958861463,,166
slowwaves_Density_mean_frontal_mid_trimmean,0.004232592352082362,,167
slowwaves_Density_mean_central_right_trimmean,0.00422445060903143,,168
slowwaves_Frequency_mean_central_right_trimmean,0.0042018919369869985,,169
slowwaves_Density_mean_posterior_mid_trimmean,0.004184153951263519,,170
PE_gamma_mean_central_mid_trimmean,0.0041554736114808085,,171
wsmi_beta_mean_posterior_left_trimmean,0.004062471211699186,,172
PE_beta_mean_frontal_left_trimmean,0.004054751485528439,,173
psd_relative_gamma_mean_central_mid_trimmean,0.004027602380074081,,174
PE_gamma_mean_frontal_left_trimmean,0.00359747473413873,,175
