marker,moderator,interaction_term,estimate,std_error,t_value,p_value,n_obs,n_subjects,converged,p_fdr,significant_fdr,marker_label,moderator_label
omission_rate,valence,onoff:valence,-0.011881342234687635,0.017614754992219823,-0.6745107859822886,0.49998663073475647,2460,42,True,0.6799643943260602,False,Omission Rate,Valence
omission_rate,valence_sq,onoff:valence_sq,-0.04439066076061367,0.015147137219333959,-2.9306303968747955,0.003382749896572925,2460,42,True,0.015786166184006984,True,Omission Rate,Valence² (curvature)
omission_rate,selfother,onoff:selfother,-0.017576133084716932,0.016343272463782987,-1.0754353587181509,0.28217985837299364,2460,42,True,0.6186890873317373,False,Omission Rate,Self/Other
omission_rate,time,onoff:time,-0.05955388533200262,0.017159881691995053,-3.47053006547149,0.0005194321885101879,2460,42,True,0.005718065748292846,True,Omission Rate,Time (probe dim.)
omission_rate,time_sq,onoff:time_sq,-0.04786865710030703,0.01567533063978568,-3.053757410310135,0.0022599474746893182,2460,42,True,0.012879237541656277,True,Omission Rate,Time² (curvature)
omission_rate,confidence,onoff:confidence,0.012423227414025103,0.017568048589271495,0.7071489671090592,0.4794739085358978,2460,42,True,0.6799643943260602,False,Omission Rate,Confidence
omission_rate,time_on_task,onoff:time_on_task,-0.054093725939035366,0.013519679497735988,-4.001110081647567,6.304601746266259e-05,2460,42,True,0.0017652884889545525,True,Omission Rate,Time on Task
commission_rate,valence,onoff:valence,0.010065010997579027,0.024824918090190176,0.40543984721368814,0.68515422588546,1613,42,True,0.7456075987529308,False,Commission Rate,Valence
commission_rate,valence_sq,onoff:valence_sq,-0.021133242398432964,0.021759563311733024,-0.971216292150388,0.331440582499145,1613,42,True,0.6186890873317373,False,Commission Rate,Valence² (curvature)
commission_rate,selfother,onoff:selfother,0.0139802343398586,0.022512452183345456,0.6210000681401147,0.5345995783445473,1613,42,True,0.6799643943260602,False,Commission Rate,Self/Other
commission_rate,time,onoff:time,0.020454413119530713,0.02336834483238817,0.8753043172822923,0.3814083456755394,1613,42,True,0.6282019811126531,False,Commission Rate,Time (probe dim.)
commission_rate,time_sq,onoff:time_sq,0.04458413615319781,0.022236883845537646,2.0049633061398873,0.044966969980249995,1613,42,True,0.157384394930875,False,Commission Rate,Time² (curvature)
commission_rate,confidence,onoff:confidence,0.0012946131603268336,0.025616394305464675,0.0505384616152109,0.9596933006130889,1613,42,True,0.9786067852543658,False,Commission Rate,Confidence
commission_rate,time_on_task,onoff:time_on_task,0.011532893477772406,0.020518462070838697,0.5620739721113511,0.5740656209828063,1613,42,True,0.6799643943260602,False,Commission Rate,Time on Task
total_errors,valence,onoff:valence,-0.010543209734937659,0.018097575682965415,-0.5825758057120102,0.5601788965448959,2460,42,True,0.6799643943260602,False,Total Errors,Valence
total_errors,valence_sq,onoff:valence_sq,-0.04295204719050089,0.015558741511560574,-2.7606376234598624,0.005768864660419065,2460,42,True,0.02307545864167626,True,Total Errors,Valence² (curvature)
total_errors,selfother,onoff:selfother,-0.016744063935276964,0.01678006165032159,-0.9978547328493315,0.31834980514621536,2460,42,True,0.6186890873317373,False,Total Errors,Self/Other
total_errors,time,onoff:time,-0.05383328418815679,0.017658937839308417,-3.0485006900202714,0.0022998638467243353,2460,42,True,0.012879237541656277,True,Total Errors,Time (probe dim.)
total_errors,time_sq,onoff:time_sq,-0.02196029070798288,0.016116854429740486,-1.3625667963755683,0.17301907923755588,2460,42,True,0.48445342186515644,False,Total Errors,Time² (curvature)
total_errors,confidence,onoff:confidence,0.011740637215662623,0.01804422552727497,0.6506589710883361,0.5152666538963002,2460,42,True,0.6799643943260602,False,Total Errors,Confidence
total_errors,time_on_task,onoff:time_on_task,-0.04765918042270792,0.0139112247363721,-3.425951440357287,0.0006126499016028048,2460,42,True,0.005718065748292846,True,Total Errors,Time on Task
rtcv,valence,onoff:valence,-0.016336502532872298,0.011857194182303429,-1.3777713581897921,0.16827389171955676,2444,42,True,0.48445342186515644,False,RTCV (RT Variability),Valence
rtcv,valence_sq,onoff:valence_sq,0.005703463917931929,0.010383894171929255,0.5492605975656111,0.5828266237080515,2444,42,True,0.6799643943260602,False,RTCV (RT Variability),Valence² (curvature)
rtcv,selfother,onoff:selfother,-0.009764983876060592,0.01086018736265082,-0.899154273308697,0.3685704927659037,2444,42,True,0.6282019811126531,False,RTCV (RT Variability),Self/Other
rtcv,time,onoff:time,0.00030651392509177007,0.011430419626949474,0.026815631892385026,0.9786067852543658,2444,42,True,0.9786067852543658,False,RTCV (RT Variability),Time (probe dim.)
rtcv,time_sq,onoff:time_sq,0.010562575389137081,0.010672612972862705,0.989689724156079,0.3223257991588112,2444,42,True,0.6186890873317373,False,RTCV (RT Variability),Time² (curvature)
rtcv,confidence,onoff:confidence,0.012043053109718298,0.01194555317982101,1.0081620271936833,0.31337668418920683,2444,42,True,0.6186890873317373,False,RTCV (RT Variability),Confidence
rtcv,time_on_task,onoff:time_on_task,-0.0036648565480041965,0.009262452088840304,-0.3956680707066471,0.6923499131277215,2444,42,True,0.7456075987529308,False,RTCV (RT Variability),Time on Task
