PC,Group,Inclusion_Exclusion,N,Mean,SD,SE
PC1,Controls,baseline,214,0.10625089287506204,1.2821715817897341,0.08764744493424143
PC1,Controls,inclusion,116,0.22489504813876254,1.0866195506641683,0.10089009246518944
PC1,Controls,exclusion,154,0.2837005114681435,1.0998798635111764,0.08863084516864068
PC1,Risk of Depression,baseline,187,-0.12916379884046633,0.9064886901914063,0.06628901819200972
PC1,Risk of Depression,inclusion,109,0.026491042736068084,1.012482609162157,0.09697824563848077
PC1,Risk of Depression,exclusion,108,-0.6597156361159079,1.0361366563155685,0.09970229624017203
PC2,Controls,baseline,214,0.25608313200594773,0.9872096920351456,0.06748426524975773
PC2,Controls,inclusion,116,0.1893415766096999,1.0124922365779705,0.09400754413649293
PC2,Controls,exclusion,154,0.07055686370694297,1.025022795657946,0.08259869073906678
PC2,Risk of Depression,baseline,187,-0.21567933939071637,0.9053025649427586,0.06620228012342003
PC2,Risk of Depression,inclusion,109,-0.27478624562122034,0.9796470581185052,0.09383317025054771
PC2,Risk of Depression,exclusion,108,-0.16062437877861363,1.027084213049599,0.09883122448076681
PC3,Controls,baseline,214,0.21108147124316887,0.8987374647700013,0.06143642830065969
PC3,Controls,inclusion,116,0.22121370590295628,0.7878770806752673,0.07315255046897107
PC3,Controls,exclusion,154,0.10337817708182923,0.8397318371069871,0.06766751979640301
PC3,Risk of Depression,baseline,187,-0.23516518240967682,0.8209458435730498,0.06003350571067563
PC3,Risk of Depression,inclusion,109,-0.046504928042437534,0.8067026692772576,0.07726810209918226
PC3,Risk of Depression,exclusion,108,-0.3491438679087733,0.762616258767089,0.07338278371459403
