predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper
Intercept,-0.0003315157104192192,0.13199696941941633,-0.0025115403170040836,0.9979960828639585,-0.2590408218409101,0.25837779042007164
group[T.Risk of Depression],-0.20994608950277635,0.20483237240550003,-1.0249653755274233,0.3053795253548425,-0.6114101622854524,0.1915179832798997
condition_type[T.inclusion],-0.2818603783563048,0.13280427017739915,-2.122374363262547,0.0338063132848372,-0.5421519648971339,-0.021568791815475663
group[T.Risk of Depression]:condition_type[T.inclusion],0.3356808372480446,0.19403314137151817,1.730018051943567,0.08362705002259588,-0.044617131647299746,0.7159788061433889
subject_id Var,0.11653618478477809,0.05646643357581533,2.06381344464246,0.039035407833754934,0.005864008640756785,0.2272083609287994
