predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper
Intercept,0.05053394190154365,0.13232910246634855,0.38188078782136753,0.7025497913674486,-0.20882633303900994,0.3098942168420972
group[T.Risk of Depression],-0.12954685077585565,0.2075062356849597,-0.6243034111636837,0.5324283441314722,-0.5362515992858569,0.27715789773414556
subject_id Var,0.277799095511279,0.11301845956993072,2.4579975392372915,0.0139714131432314,0.0562869851660186,0.49931120585653943
