predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper
Intercept,-0.007339365532528104,0.14242612136895272,-0.0515310356133029,0.9589023718529449,-0.28648943387340603,0.2718107028083498
group[T.Risk of Depression],-0.07500364528515714,0.22393985884565257,-0.3349276259785997,0.7376796819480702,-0.5139177033256196,0.36391041275530533
condition_type[T.inclusion],0.1166596869567653,0.1143209882729178,1.0204572993916423,0.3075116307318435,-0.10740533273517945,0.3407247066487101
group[T.Risk of Depression]:condition_type[T.inclusion],-0.11124465506905684,0.16563245514652886,-0.6716356101263056,0.5018157023675783,-0.43587830182719933,0.21338899168908565
subject_id Var,0.2676189961193538,0.10957507372381092,2.442334620681159,0.014592613833477375,0.052855798017363176,0.48238219422134443
