predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper
Intercept,-0.07622532816548684,0.20455992202814785,-0.37263080377493535,0.7094232433274161,-0.4771554080209783,0.3247047516900046
group[T.Risk of Depression],0.22895318380564902,0.15164425331703543,1.5098045510962257,0.1310933034331912,-0.06826409115820906,0.5261704587695071
condition_type[T.inclusion],0.1058227616855918,0.15167660658898102,0.69768676967012,0.4853731039434529,-0.19145792452606164,0.4031034478972452
group[T.Risk of Depression]:condition_type[T.inclusion],-0.30905638793595225,0.15808545474535707,-1.9549957232547301,0.050583575063173486,-0.6188981857164887,0.000785409844584195
time_on_task,-0.001000727085855991,0.0055224235924272716,-0.18121157660347842,0.8562015082178873,-0.011824478434387746,0.009823024262675764
subject_id Var,0.0605909074713043,0.04271348692714006,1.4185427561711186,0.15603236500806256,-0.023125988560012647,0.14430780350262123
