perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
165,62,2,0,0,0.96875,0,False
166,62,2,0,0,0.96875,0,False
167,62,2,0,0,0.96875,0,False
168,62,2,0,0,0.96875,0,False
169,62,2,0,0,0.96875,0,False
170,62,2,0,0,0.96875,0,False
171,62,2,0,0,0.96875,0,False
172,62,2,0,0,0.96875,0,False
173,62,2,0,0,0.96875,0,False
174,62,2,0,0,0.96875,0,False
175,62,2,0,0,0.96875,0,False
176,62,2,0,0,0.96875,0,False
177,62,2,0,0,0.96875,0,False
178,62,2,0,0,0.96875,0,False
179,62,2,0,0,0.96875,0,False
180,62,2,0,0,0.96875,0,False
181,62,2,0,0,0.96875,0,False
182,62,2,0,0,0.96875,0,False
183,62,2,0,0,0.96875,0,False
184,62,2,0,0,0.96875,0,False
185,62,2,0,0,0.96875,0,False
186,62,2,0,0,0.96875,0,False
187,62,2,0,0,0.96875,0,False
188,62,2,0,0,0.96875,0,False
189,62,2,0,0,0.96875,0,False
190,62,2,0,0,0.96875,0,False
191,62,2,0,0,0.96875,0,False
192,62,2,0,0,0.96875,0,False
193,62,2,0,0,0.96875,0,False
194,62,2,0,0,0.96875,0,False
195,62,2,0,0,0.96875,0,False
196,62,2,0,0,0.96875,0,False
197,62,2,0,0,0.96875,0,False
198,62,2,0,0,0.96875,0,False
199,62,2,0,0,0.96875,0,False
200,62,2,0,0,0.96875,0,False
201,62,2,0,0,0.96875,0,False
202,62,2,0,0,0.96875,0,False
203,62,2,0,0,0.96875,0,False
204,62,2,0,0,0.96875,0,False
205,62,2,0,0,0.96875,0,False
206,62,2,0,0,0.96875,0,False
207,62,2,0,0,0.96875,0,False
208,62,2,0,0,0.96875,0,False
209,62,2,0,0,0.96875,0,False
210,62,2,0,0,0.96875,0,False
211,62,2,0,0,0.96875,0,False
212,62,2,0,0,0.96875,0,False
213,62,2,0,0,0.96875,0,False
214,62,2,0,0,0.96875,0,False
215,62,2,0,0,0.96875,0,False
216,62,2,0,0,0.96875,0,False
217,62,2,0,0,0.96875,0,False
218,62,2,0,0,0.96875,0,False
219,62,2,0,0,0.96875,0,False
220,62,2,0,0,0.96875,0,False
221,62,2,0,0,0.96875,0,False
222,62,2,0,0,0.96875,0,False
223,62,2,0,0,0.96875,0,False
224,62,2,0,0,0.96875,0,False
225,62,2,0,0,0.96875,0,False
