channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
P6,9.887358336614919e-14,2.5897559904493593e-13,0.38178725613834075,0.38178725613834075,0.7026191721743515,0.9775571091121413,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
P7,8.851595219069677e-14,1.5594618656961185e-13,0.5676057500205989,0.5676057500205989,0.5703027018878493,0.9067385797806247,False,False,nm,g,mean ~ onoff_label,False,0.05,indep
P8,3.638352073028212e-13,2.594434774420544e-13,1.4023679103055586,1.4023679103055586,0.16080541074352706,0.6924444910770572,False,False,nm,g,mean ~ onoff_label,False,0.05,indep
PO3,1.5850897962543792e-13,7.883816365667662e-14,2.010561538644034,2.010561538644034,0.04437179000706227,0.40568493720742643,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
PO4,4.460224693118392e-15,7.162087600738118e-14,0.06227548365449657,0.06227548365449657,0.9503434517824442,0.9922599574393811,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
PO7,6.56980886778035e-13,2.9265875494738857e-13,2.2448700941686877,2.2448700941686877,0.02477647330278798,0.37471727553287565,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
PO8,1.9648370226019815e-13,2.4931801790145553e-13,0.7880846475277994,0.7880846475277994,0.43064719466945145,0.8612943893389029,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
POz,8.768334566132576e-16,3.357244969994649e-14,0.026117648978550862,0.026117648978550862,0.9791635000149432,0.9922599574393811,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
Pz,3.2369930543611435e-16,3.3368114618425916e-14,0.009700856914983359,0.009700856914983359,0.9922599574393811,0.9922599574393811,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
T7,3.437005499638672e-13,1.0147987546872938e-12,0.33868838365866655,0.33868838365866655,0.734844492508673,0.9801272502220384,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
T8,1.2280600251767088e-12,1.087333377156049e-12,1.1294236440977599,1.1294236440977599,0.2587191632913781,0.7199141935064435,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
TP10,-6.621874637028874e-14,1.874937785094131e-12,-0.03531783662195716,-0.03531783662195716,0.9718263006354684,0.9922599574393811,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
TP7,6.258620812506075e-14,2.451364221309003e-13,0.2553117467450038,0.2553117467450038,0.7984823279295771,0.9813983813690441,False,False,nm,g,mean ~ onoff_label,False,0.05,indep
TP8,6.176217596727235e-14,9.069778307492242e-13,0.06809667653756506,0.06809667653756506,0.9457086759564085,0.9922599574393811,False,False,nm,g,mean ~ onoff_label,False,0.05,indep
TP9,3.504479012710613e-12,3.563280045612414e-12,0.9834980601723391,0.9834980601723391,0.3253623695549639,0.7712293204265811,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
