channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
P8,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
PO3,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
PO4,0.006446469442781758,0.006856461093920113,0.9402036056907097,0.9402036056907097,0.347113132641399,0.5033772128251066,False,True,nm,sef95,mean ~ onoff_label,False,0.05,indep
PO7,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
PO8,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
POz,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
Pz,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
T7,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
T8,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
TP10,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
TP7,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
TP8,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
TP9,7.6404788554335e-16,,,,,,False,False,nm,sef95,mean ~ onoff_label,False,0.05,indep
