channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,fdr_alpha,fdr_method
C4,1.1492662409916138e-12,3.582553393485466e-13,3.2079528614463797,3.2079528614463797,0.0013368340785909739,0.0289647383694711,True,True,lbfgs,a,mean ~ onoff_label,0.05,indep
C6,1.0266453783829739e-12,2.7454083313274985e-13,3.739499755530194,3.739499755530194,0.0001843868274801778,0.011985143786211556,True,True,lbfgs,a,mean ~ onoff_label,0.05,indep
CP4,1.252991830237527e-12,4.0338232435617164e-13,3.1062140172785107,3.1062140172785107,0.0018949950943716125,0.0307936702835387,True,True,lbfgs,a,mean ~ onoff_label,0.05,indep
POz,-2.9481072417969077e-12,9.081398938503653e-13,-3.2463139894641264,-3.2463139894641264,0.001169098190529744,0.0289647383694711,True,True,lbfgs,a,mean ~ onoff_label,0.05,indep
