channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
FC6,-6.599596488679116e-05,0.0016004154691492487,-0.041236770175605335,-0.041236770175605335,0.9671071402304606,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FCz,0.002051321002346996,0.001896631055569127,1.0815603785056924,1.0815603785056924,0.2794479181445908,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FT10,-0.0011696902013821346,0.0013606034379390222,-0.8596848786108655,-0.8596848786108655,0.3899627724502954,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FT7,-0.0013026322800288438,0.001392368806321534,-0.9355511802007667,-0.9355511802007667,0.3495043204440207,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
FT8,-0.0014117069939218534,0.0014311958880955551,-0.986382790548934,-0.986382790548934,0.3239453067887865,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FT9,-0.002299077143676284,0.0014252397786219688,-1.6131160371479445,-1.6131160371479445,0.10671930030464662,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
Fp1,0.0010718829023308354,0.001329264090818571,0.8063731727461033,0.8063731727461033,0.4200277106708561,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
Fp2,-0.00045364740005525916,0.0013340153316645964,-0.3400616089540694,-0.3400616089540694,0.733810132292483,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
Fz,0.0017239455918692242,0.001599279051065978,1.077951712504551,1.077951712504551,0.2810553059074077,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
Iz,0.0022008126149674254,0.0015598937775869522,1.4108733854762407,1.4108733854762407,0.1582819510167679,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
O1,0.0010747023626614908,0.0018113587416585832,0.5933128197882171,0.5933128197882171,0.5529718208537019,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
O2,-0.00017389368954635962,0.0017195831805021425,-0.10112548873360125,-0.10112548873360125,0.9194508446757306,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
Oz,0.00021104899327023695,0.0019761731996180386,0.10679680976901681,0.10679680976901681,0.9149501784370845,0.9965051017444562,False,True,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
P1,0.0010010815052136366,0.0015983556012232028,0.6263196402900084,0.6263196402900084,0.5311053065515873,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
P2,0.0011739077237755736,0.001965501761682149,0.5972560018317664,0.5972560018317664,0.5503364748427737,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
P3,-0.0012249945427881875,0.0018984370560840664,-0.6452647660149458,-0.6452647660149458,0.5187556215639892,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
P4,0.0017082856150115624,0.0015463836917557472,1.104697122789748,1.104697122789748,0.26929085055481217,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
P5,-0.0014738675191561855,0.0014291687876553589,-1.0312760339344926,-1.0312760339344926,0.30241139375234727,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
P6,0.0026295585900811187,0.0017340602948100138,1.516417046138074,1.516417046138074,0.1294139314574017,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
P7,-8.559199976598013e-05,0.0018763969582295391,-0.04561508128148952,-0.04561508128148952,0.9636170485603383,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
P8,0.0010135868859499047,0.001595570999302284,0.6352502561109026,0.6352502561109026,0.5252652109057125,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
PO3,0.00018042333522567594,0.0017488629654960092,0.1031660792099309,0.1031660792099309,0.9178311610940306,0.9965051017444562,False,True,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
PO4,0.0027217350381048035,0.0015270089093616913,1.782396305233427,1.782396305233427,0.07468462761021437,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
PO7,0.0010935144926243392,0.0019490531607602361,0.5610490850838616,0.5610490850838616,0.57476407588345,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
PO8,0.003117446187609245,0.0015842120632942784,1.9678212657506808,1.9678212657506808,0.049088606453141656,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
POz,0.0009954128394924547,0.00168654400971192,0.5902086359800846,0.5902086359800846,0.5550507830477435,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
Pz,0.0004854847168648989,0.0015579172148343454,0.31162420714153344,0.31162420714153344,0.7553261350723242,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
T7,-0.00015241889601356776,0.001606210992874525,-0.09489344593563899,-0.09489344593563899,0.9243994624139963,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
T8,0.0006674693645724578,0.001549862918813019,0.4306634841510029,0.4306634841510029,0.6667130736487139,0.9630299952703646,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
TP10,0.00022820311408274012,0.0016935900106565547,0.13474519372860055,0.13474519372860055,0.8928133395736798,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
TP7,-1.5940752634821135e-05,0.0013762429300300933,-0.01158280437776532,-0.01158280437776532,0.9907584658594372,0.9965051017444562,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
TP8,0.0011529293742185563,0.0014576080783244346,0.7909735074629143,0.7909735074629143,0.4289594512659848,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
TP9,0.001127663394865673,0.0013708152663216757,0.8226224368594501,0.8226224368594501,0.41072273542612026,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
