channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,2.903793327640859e-13,6.873587509553495e-13,0.42245673363508074,0.42245673363508074,0.6726916749092793,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
AF4,3.6917742064845157e-13,8.689670192698312e-13,0.42484629734125134,0.42484629734125134,0.6709487251385495,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
AF7,-4.775641154989477e-14,4.645352729664452e-13,-0.10280470467814048,-0.10280470467814048,0.9181179712591115,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
AF8,1.3592677411993692e-13,7.864685101794383e-13,0.17283180745396184,0.17283180745396184,0.862783634522863,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
AFz,4.0472113920799217e-13,7.169278671016691e-13,0.5645214222794297,0.5645214222794297,0.5723993252077881,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
C1,1.3737804965614255e-13,1.8454434981317025e-13,0.7444175332120538,0.7444175332120538,0.456623914966907,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
C2,2.0826420782464302e-13,1.7194906820602864e-13,1.2111970713042872,1.2111970713042872,0.2258198849330596,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
C3,7.630327886389789e-14,1.1008030268698156e-13,0.6931601476503003,0.6931601476503003,0.48820905480940346,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
C4,2.305658152506614e-13,1.8750394952907515e-13,1.2296584462873348,1.2296584462873348,0.21882503362359906,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
C5,9.059954883610349e-14,2.630822629146416e-13,0.3443772599200235,0.3443772599200235,0.7305625881381419,0.9999999655906137,False,False,nm,t,mean ~ onoff_label,False,0.05,indep
C6,2.324538897586245e-13,1.8054661058756926e-13,1.287500712431702,1.287500712431702,0.1979198214445559,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
CP1,7.342182417602316e-13,3.4422723471918426e-06,2.132946401987038e-07,2.132946401987038e-07,0.9999998298154997,0.9999999655906137,False,False,nm,t,mean ~ onoff_label,False,0.05,indep
CP2,9.823981905743295e-13,2.277984100004437e-05,4.3125770305965524e-08,4.3125770305965524e-08,0.9999999655906137,0.9999999655906137,False,False,nm,t,mean ~ onoff_label,False,0.05,indep
CP3,1.2067594810665202e-13,1.1813615673282134e-13,1.0214988488204735,1.0214988488204735,0.3070181542241831,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
CP4,-3.0878008483448127e-12,8.670984219222725e-06,-3.561073080377035e-07,-3.561073080377035e-07,0.9999997158674769,0.9999999655906137,False,False,nm,t,mean ~ onoff_label,False,0.05,indep
CP5,1.9204242038465115e-13,2.5577798727640733e-13,0.7508168409235306,0.7508168409235306,0.4527628927170112,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
CP6,2.2222069528044903e-13,1.8676942471589564e-13,1.1898130307917374,1.1898130307917374,0.23411988678569096,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
CPz,1.7600155028005902e-13,1.9587919956882778e-13,0.8985208774973364,0.8985208774973364,0.3689079199282679,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
Cz,2.2928342480745167e-13,2.47788657177315e-13,0.9253184847899588,0.9253184847899588,0.3548002663209675,0.9999999655906137,False,False,nm,t,mean ~ onoff_label,False,0.05,indep
F1,1.6500237947684023e-13,3.372315604920147e-13,0.4892851049768437,0.4892851049768437,0.6246398648116902,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
F2,-2.895790055663234e-14,2.533823879528941e-13,-0.11428537235988107,-0.11428537235988107,0.9090115776875402,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
F3,1.217267675314344e-13,2.85282093425518e-13,0.4266891274871238,0.4266891274871238,0.6696057707270181,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
F4,7.357704907952419e-14,3.3485356944469083e-13,0.21972902723283416,0.21972902723283416,0.8260821966196049,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
F5,1.2393289769462084e-13,2.331160217632475e-13,0.5316361216068066,0.5316361216068066,0.5949780418910111,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
F6,2.2148016944644738e-13,4.646208913847204e-13,0.4766900790585738,0.4766900790585738,0.6335828284739782,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
F7,3.7226461827172523e-13,3.057353790407772e-13,1.217603992837462,1.217603992837462,0.22337449637741225,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
F8,3.0365574304840736e-13,5.376576510385175e-13,0.5647752663091065,0.5647752663091065,0.5722266323218393,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
FC1,9.953146718850407e-14,3.095649578427887e-13,0.32152045852376715,0.32152045852376715,0.7478160109602837,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
FC2,4.7883955067740895e-14,2.1081161845808404e-13,0.2271409679313369,0.2271409679313369,0.8203141286652912,0.9999999655906137,False,True,nm,t,mean ~ onoff_label,False,0.05,indep
FC3,9.814785964121777e-14,1.9673901237373047e-13,0.4988733980974428,0.4988733980974428,0.6178685756862292,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
FC4,6.057266683985858e-14,2.2465559421365112e-13,0.26962456488954817,0.26962456488954817,0.7874490999741653,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
FC5,1.6609023038900347e-13,2.187291808146325e-13,0.7593418937995328,0.7593418937995328,0.4476480628064775,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
FC6,1.211948810882484e-13,2.2701843409005974e-13,0.5338548015892383,0.5338548015892383,0.5934419951669627,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
FCz,4.056688766219453e-14,3.419640723505054e-13,0.11862909276800983,0.11862909276800983,0.9055692154036619,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
FT10,-8.494996373009656e-12,5.321929993896259e-05,-1.5962247498092982e-07,-1.5962247498092982e-07,0.9999998726396917,0.9999999655906137,False,False,nm,t,mean ~ onoff_label,False,0.05,indep
FT7,5.706995211835149e-13,9.226940353707588e-13,0.6185143712933998,0.6185143712933998,0.5362363274545008,0.9999999655906137,False,True,lbfgs,t,mean ~ onoff_label,False,0.05,indep
