channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
FT10,-0.07349550606121642,0.2527908842238905,-0.29073637796259816,-0.29073637796259816,0.7712529472001012,0.7834950574731187,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
FT7,0.027893677420776232,0.2059366389034753,0.13544786187294383,0.13544786187294383,0.8922577844619505,0.8922577844619505,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
FT8,-0.24289002139153038,0.2731698891331526,-0.8891537136918383,-0.8891537136918383,0.3739204746938807,0.41984053298962043,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
FT9,-0.09188092898021252,0.2183501758985498,-0.42079622149195056,-0.42079622149195056,0.6739038910241413,0.6956427262184685,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
Fp1,-0.9173035707524193,0.5796779486490633,-1.5824365458271976,-1.5824365458271976,0.11354994732600815,0.219210851591921,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
Fp2,-0.36860468932223234,0.3493980710485383,-1.0549705904673579,-1.0549705904673579,0.29143877543709185,0.3583370380877839,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
Fz,-0.4851895693184109,0.29156317572130125,-1.6640975600505628,-1.6640975600505628,0.09609293459566594,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
Iz,-0.1736971318738273,0.31338338493229734,-0.5542640108739411,-0.5542640108739411,0.5793981765233538,0.6078931688113876,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
O1,-0.43657173121089227,0.3000805251762138,-1.4548485975706948,-1.4548485975706948,0.14571118085437254,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
O2,-0.4411734502296205,0.3245375689505155,-1.35939099949593,-1.35939099949593,0.17402272166689725,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
Oz,-0.46699429110878454,0.33756853640249823,-1.3834058591052045,-1.3834058591052045,0.1665404550233487,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
P1,-0.39747915083603297,0.2846297945194074,-1.3964776649864425,-1.3964776649864425,0.16257070185139988,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
P2,-0.49386770605670816,0.2732660041905362,-1.8072782508004772,-1.8072782508004772,0.07071890539915146,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
P3,-0.5310966958725173,0.2813070554544251,-1.8879608085711912,-1.8879608085711912,0.05903121202943506,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
P4,-0.6341286361670768,0.26648147578624154,-2.379634960727041,-2.379634960727041,0.017329795767261298,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
P5,-0.3992026210330099,0.25724484501476935,-1.5518391476808417,-1.5518391476808417,0.12070071628990109,0.219210851591921,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
P6,-0.6091060104117632,0.25072867844882046,-2.429343201504154,-2.429343201504154,0.015126206149629475,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
P7,-0.3573514628424908,0.23188921794860562,-1.541043891577968,-1.541043891577968,0.12330610402045555,0.219210851591921,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
P8,-0.47195738116077757,0.21744697174993394,-2.1704481665697006,-2.1704481665697006,0.02997291127211586,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
PO3,-0.5457049203986015,0.2715853777746955,-2.0093310062197562,-2.0093310062197562,0.044502041748445666,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
PO4,-0.2875652883206909,0.27252943924526907,-1.0551714674093977,-1.0551714674093977,0.29134691102563837,0.3583370380877839,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
PO7,-0.4602689990864732,0.2659992117081692,-1.7303397108989917,-1.7303397108989917,0.08356959852827858,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
PO8,-0.7490325004373098,0.3403920835936917,-2.200499178856906,-2.200499178856906,0.027771498134930895,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
POz,-0.5035200636325696,0.28133329408770674,-1.789763509027109,-1.789763509027109,0.07349193778555715,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
Pz,-0.3413187929291193,0.25292124543730854,-1.34950621620959,-1.34950621620959,0.17717442504650516,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
T7,-0.1630730839605633,0.22118573047083304,-0.7372676510977147,-0.7372676510977147,0.46095960026337224,0.5000239731670478,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
T8,-0.22390617565653886,0.27265616893498024,-0.8212034098884934,-0.8212034098884934,0.411530414567437,0.4541025264192408,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
TP10,-0.10890475220322081,0.12026379979405381,-0.90554890490501,-0.90554890490501,0.36517466360584006,0.4173424726923886,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
TP7,-0.1383924287000013,0.231518478919182,-0.5977597526818196,-0.5977597526818196,0.5500002491599454,0.5866669324372751,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
TP8,-0.3341282173554473,0.2042834451591804,-1.6356108401005773,-1.6356108401005773,0.10192106020108627,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
TP9,0.10890475220322081,0.12026379979405381,0.90554890490501,0.90554890490501,0.36517466360584006,0.4173424726923886,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
