analysis_label,dimension,group1,group2,n1,n2,mean1,mean2,sd1,sd2,t_statistic,p_value,p_bonferroni,significant_05,significant_bonferroni
overall,confidence,Controls Low BDI,Controls High BDI,10,12,76.98087255875537,69.17545494628828,18.357668469959673,12.397624164594463,1.1445333976819863,0.2699592535428138,0.8098777606284414,False,False
overall,confidence,Controls Low BDI,Risk of Depression,10,11,76.98087255875537,70.49872957293601,18.357668469959673,16.763338025583582,0.8421441957874675,0.4105583288317918,1.0,False,False
overall,confidence,Controls High BDI,Risk of Depression,12,11,69.17545494628828,70.49872957293601,12.397624164594463,16.763338025583582,-0.21366847569314526,0.8331619350383321,1.0,False,False
