predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-6.977603526777469,6.05769179262072,-1.1518584579158277,0.24937924132196343,-18.850461269757957,4.89525421620302,False,False
group_bdi3[T.Controls High BDI],0.5282659203835922,8.052946796922624,0.06559908238627198,0.9476970196912785,-15.25521977100194,16.311751611769125,False,False
group_bdi3[T.Risk of Depression],12.682324325419087,7.754986181887513,1.6353767792700686,0.10197008712875527,-2.5171692916862227,27.881817942524396,False,False
inclusion_exclusion[T.inclusion],1.2908662636189066,7.196816461646608,0.17936628931670165,0.8576500993292996,-12.814634804553432,15.396367331791247,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],9.346916417766653,9.798380726745558,0.9539246002406712,0.34012181012201426,-9.857556913466041,28.55138974899935,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],-13.963990485731426,8.8842953640968,-1.5717611710842798,0.11600594967811244,-31.37688942737732,3.44890845591447,False,False
probe_number,-0.01471746039636997,0.5118922377926653,-0.028751091166830833,0.977063108330886,-1.0180078104356072,0.9885728896428672,False,False
group_bdi3[T.Controls High BDI]:probe_number,0.155958949058966,0.6908973280968803,0.2257339009959188,0.8214083893521036,-1.1981749310258727,1.5100928291438045,False,False
group_bdi3[T.Risk of Depression]:probe_number,-0.6218003357999559,0.6477435484882119,-0.9599483271600223,0.33708122193424706,-1.8913543620550253,0.6477536904551137,False,False
inclusion_exclusion[T.inclusion]:probe_number,-0.179163368542097,0.785874588034743,-0.22797959276191318,0.8196621054139672,-1.7194492574554454,1.3611225203712514,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,-0.5539138335786936,1.0434523123466717,-0.5308472912700432,0.5955246056755094,-2.5990427853632094,1.491215118205822,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,0.20853966962173068,0.9606412145087723,0.217083825336776,0.8281430189235123,-1.6742825128802794,2.091361852123741,False,False
subject_id Var,0.35783120183639106,0.13825042396240328,2.5882828535390385,0.009645574037965869,0.08686535002268736,0.6287970536500948,True,True
