variable,domain,type,group1,group2,n_group1,n_group2,mean_group1,sd_group1,mean_group2,sd_group2,test,statistic,df,p_value,effect_size_d,prop_female_group1,prop_female_group2,note
age,demographics,continuous,1,2,31,12,48.516129032258064,11.401377015495207,53.75,7.533259586659682,welch_t,-1.7521902234647362,30.393566633392144,0.08982604801745199,-0.4982577114883565,,,
gender,demographics,categorical,1,2,31,12,,,,,chi2_independence,1.1020355436081242,1.0,0.29381982120621025,,0.5161290322580645,0.75,Categorical variable; counts are summarized in the contingency table.
year_birth,demographics,continuous,1,2,30,12,1971.6666666666667,11.102448730622084,1965.75,8.058028181994537,welch_t,1.917623116550387,27.937914368856656,0.06543473756491276,0.5713908668759183,,,
bdi,psychometrics,continuous,1,2,30,12,2.6666666666666665,3.51679059540855,11.833333333333334,7.481289793190543,welch_t,-4.068491733851925,12.992004798418122,0.0013310168993682378,-1.8573239307749736,,,
a_rsq,psychometrics,continuous,1,2,30,12,7.003000000000002,3.234940867124638,8.4975,7.014699015120126,welch_t,-0.7085144220175498,12.915683714640435,0.49121651034978897,-0.32520912737613944,,,
rrs_d,psychometrics,continuous,1,2,30,12,17.166666666666668,4.119619444538062,28.083333333333332,6.999458853541768,welch_t,-5.063348235301233,14.156471013370869,0.00016720583532095983,-2.150171800716455,,,
rrs_r,psychometrics,continuous,1,2,30,12,9.466666666666667,3.7667632985265267,11.333333333333334,3.938927711338647,welch_t,-1.404708601464996,19.528277202183727,0.17581505043302037,-0.48931162518839744,,,
rrs_b,psychometrics,continuous,1,2,30,12,6.366666666666666,2.5255021123610706,8.166666666666666,3.1574826950748234,welch_t,-1.7621557480312,16.929662099061957,0.09608724137044346,-0.6632260274105485,,,
rrs_tot,psychometrics,continuous,1,2,30,12,32.96666666666667,9.404633243076606,47.583333333333336,10.974833470124715,welch_t,-4.056199014088617,17.827676398841458,0.0007538232417757624,-1.4822110636357464,,,
mwq,psychometrics,continuous,1,2,30,12,11.466666666666667,4.368644809464873,19.666666666666668,6.0802711263312075,welch_t,-4.253230653042801,15.757057026074174,0.000626563599246976,-1.6737017656480164,,,
sris,psychometrics,continuous,1,2,30,12,50.03333333333333,11.084264501545869,53.333333333333336,11.45214019960964,welch_t,-0.851356895690587,19.737055937960143,0.4047825742158001,-0.2949948393849228,,,
fne,psychometrics,continuous,1,2,30,12,11.6,8.656669742717622,16.083333333333332,8.09554684921771,welch_t,-1.5891331713210302,21.64572154891413,0.12653104310452662,-0.5270757169159997,,,
self-esteem,psychometrics,continuous,1,2,30,12,34.63333333333333,4.7013082062947875,29.166666666666668,6.206057646779597,welch_t,2.7518539744572026,16.30371485279386,0.014000050204868051,1.0596258856520346,,,
ctq_ae,psychometrics,continuous,1,2,21,12,7.809523809523809,3.9701265423037544,10.5,4.337992832887327,welch_t,-1.7668606973768008,21.358526369392823,0.0915399238933671,-0.6555045727390707,,,
ctq_ap,psychometrics,continuous,1,2,21,12,6.571428571428571,2.226464205223802,6.583333333333333,2.6097137890209456,welch_t,-0.013280041083778093,20.137145614937356,0.9895350638718323,-0.005024035104963095,,,
ctq_as,psychometrics,continuous,1,2,21,12,6.809523809523809,4.9357780300480245,5.25,0.621581560508061,welch_t,1.428240956230446,21.096014051512373,0.1678610148919414,0.3916664350618157,,,
ctq_ne,psychometrics,continuous,1,2,21,12,10.666666666666666,3.9665266081716037,11.166666666666666,3.761849963982502,welch_t,-0.36004788487698725,24.07258020078603,0.7219510556298885,-0.12836539801485602,,,
ctq_np,psychometrics,continuous,1,2,21,12,6.761904761904762,2.8619008002508037,7.333333333333333,2.4984843890695503,welch_t,-0.5989459658083538,25.724655457968208,0.5544472703254749,-0.20866689708540745,,,
ctq_tot,psychometrics,continuous,1,2,21,12,38.61904761904762,13.78577596828046,40.833333333333336,10.827854092220871,welch_t,-0.510414291280904,27.730213798218806,0.6138005404562858,-0.17279421794457048,,,
qf_3,psychometrics,continuous,1,2,26,12,41.92307692307692,29.663341790058755,51.25,22.37338109938196,welch_t,-1.0730042882861521,27.984405822396454,0.29243526139362114,-0.3374356443627246,,,
qd_4,psychometrics,continuous,1,2,14,12,3.142857142857143,0.7703288865196432,2.0833333333333335,1.2401124093721456,welch_t,2.5656303746471467,17.829238496066438,0.019550379586561095,1.0458652639719934,,,
qf_7b,psychometrics,continuous,1,2,28,12,1.5357142857142858,0.5078745001833701,1.3333333333333333,0.49236596391733095,welch_t,1.180027988413182,21.497979184411342,0.25088231531809935,0.40200070604593247,,,
