Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,baseline,858,52.446386946386944,32.77037313883888,1.118762092515148
Controls,exclusion,435,51.45977011494253,30.00883303054061,1.4388134158546646
Controls,inclusion,402,50.559701492537314,30.0187417419688,1.4971987572908891
Risk of Depression,baseline,360,62.81388888888889,28.2067837192946,1.4866280336787743
Risk of Depression,exclusion,165,52.28484848484848,29.401925866200283,2.288936824315229
Risk of Depression,inclusion,180,60.15555555555556,27.9722173062919,2.0849259792754915
