analysis_label,dimension,group1,group2,n1,n2,mean1,mean2,sd1,sd2,t_statistic,p_value,p_bonferroni,significant_05,significant_bonferroni
overall,time,Controls Low BDI,Controls High BDI,10,12,52.66212457243738,53.73372264309764,10.94449026639127,8.177676976573855,-0.2557880956796642,0.8012920876558295,1.0,False,False
overall,time,Controls Low BDI,Risk of Depression,10,11,52.66212457243738,50.642463011959535,10.94449026639127,3.3832716874175106,0.5597491643505527,0.5873268960037052,1.0,False,False
overall,time,Controls High BDI,Risk of Depression,12,11,53.73372264309764,50.642463011959535,8.177676976573855,3.3832716874175106,1.202046070160369,0.24807849268022705,0.7442354780406811,False,False
