mood_scale,thought_dim,a_base,a_base_se,a_int,a_int_se,b,b_se,c_base,c_base_se,c_int,c_int_se,ie_controls,ie_controls_ci_low,ie_controls_ci_high,ie_controls_sig,ie_risk,ie_risk_ci_low,ie_risk_ci_high,ie_risk_sig,index_mm,index_mm_ci_low,index_mm_ci_high,index_mm_sig
EVAaverage,valence,-0.02189910709432439,0.27846427601795526,0.188383369804677,0.48783257448168804,1.976878107257458,1.712749996421346,-6.756652381599548,4.348344093107206,-5.8462523283397045,7.550590902557867,-0.04027168055809876,-1.6921018665573515,1.513338586765637,False,0.33406584142539575,-1.6902237482033569,2.9552793534143262,False,0.37433752198349446,-2.1070308714305077,3.5690289787405938,False
EVAaverage,time,-0.02189910709432439,0.27846427601795526,0.188383369804677,0.48783257448168804,-0.46072682899108514,1.7231557708976537,-4.978049594232481,5.047294512099483,1.9925574398369172,8.73344837070722,0.014704437530922161,-1.044246481566685,1.1372627231730748,False,-0.06874004769215405,-1.851529532442622,1.5109322919476162,False,-0.08344448522307622,-2.244753882433926,1.8489540674215772,False
EVAaverage,selfother,-0.02189910709432439,0.27846427601795526,0.188383369804677,0.48783257448168804,4.909048895882417,1.8176574943282306,5.138515132377732,4.932322614618387,-10.090765413114294,8.717689882774573,-0.10610762720609991,-3.1626556332062488,2.899215460486128,False,0.8191014533715089,-3.2508842888025997,5.487343730570156,False,0.925209080577609,-4.103793233700711,6.496308186679186,False
EVAaverage,onoff,-0.02189910709432439,0.27846427601795526,0.188383369804677,0.48783257448168804,2.0294083380389374,1.3880606908772135,-2.6844336451091975,2.520806422695933,-1.6135580343442533,4.430339643980426,-0.04226956178174593,-1.572087897718132,1.4076007471076737,False,0.3413525203920295,-1.568763635682482,2.735853666867642,False,0.3836220821737755,-1.9665677887361916,3.289976011564662,False
EVAaverage,confidence,-0.02189910709432439,0.27846427601795526,0.188383369804677,0.48783257448168804,2.894501856492357,1.5679262153538969,0.8908190453027989,2.6760251325421716,11.804168731215928,4.731415811271226,-0.06132028462500956,-2.0539827830010258,1.8595779027961932,False,0.48509475746550995,-2.065696050989078,3.55940248932759,False,0.5464150420905195,-2.600224469772977,4.271900763558706,False
EVAmood,valence,-0.15204131929159553,0.3151112573603182,0.16489148663969663,0.5393750233740285,-0.507167969723113,2.0374258127335447,-6.300752034952952,4.345651123028647,-6.443908984874988,7.438913610519063,0.08210991584670542,-1.4358975723393743,1.7959339462368449,False,0.0025946121837197916,-2.035385439025603,2.1181822482524333,False,-0.07951530366298563,-2.807139901437462,2.423970777051875,False
EVAmood,time,-0.15204131929159553,0.3151112573603182,0.16489148663969663,0.5393750233740285,0.47992110832691054,2.156146205498659,-5.032731482795391,5.061021242018994,2.1995938480677597,8.673004573541709,-0.06840579131821267,-1.8983569244975034,1.5008046244242237,False,0.014417440270166117,-2.1521212574369395,2.214666821366783,False,0.08282323158837879,-2.5597477534228315,2.991190741199654,False
EVAmood,selfother,-0.15204131929159553,0.3151112573603182,0.16489148663969663,0.5393750233740285,3.7802010308774023,2.2983222881442473,6.229742046900674,4.793529396076187,-9.820613803045394,8.323505138758152,-0.5722267391773472,-3.96493350503849,2.1349071444020997,False,0.05289395389669605,-4.035365897052967,4.32204255427997,False,0.6251206930740432,-4.1251578292060564,6.166692213738892,False
EVAmood,onoff,-0.15204131929159553,0.3151112573603182,0.16489148663969663,0.5393750233740285,2.9134289230960464,1.3962075744191051,-1.737915084731611,2.593499724075313,-2.1103488967946227,4.432178905323587,-0.44187293769371316,-2.819773145720671,1.5484010207071122,False,0.03921600580789855,-2.905410584559701,3.1196063211719753,False,0.4810889435016118,-3.001430242075373,4.389288972816844,False
EVAmood,confidence,-0.15204131929159553,0.3151112573603182,0.16489148663969663,0.5393750233740285,3.420629240774726,1.5070635942889532,1.5981360282328527,2.6273747929886127,11.635417554908853,4.496454821131028,-0.5190996496426586,-3.2226930601657644,1.7923270527122221,False,0.04549694035698175,-3.3591906467467,3.585855747328912,False,0.5645965899996404,-3.4743475846729654,5.034926373173499,False
EVAfeel,valence,0.2665964775917154,0.39868967995522764,-0.12736160218290687,0.6982279918372497,0.6459377071313049,1.3214397811761212,-7.043862858772091,4.179329293012082,-5.220644684792841,7.241015636236682,0.17793918204464276,-1.0917546909463915,1.854187922044182,False,0.09635461829745182,-1.6639055347351643,2.116710176018863,False,-0.08158456374719099,-2.5296188818134553,2.1440807056338995,False
EVAfeel,time,0.2665964775917154,0.39868967995522764,-0.12736160218290687,0.6982279918372497,-2.555034641414651,1.2700191324061607,-4.119878774902572,4.898461581677475,2.3629336412080195,8.452442915532586,-0.6727662214434574,-3.392003490490787,1.4136157871205794,False,-0.3440772383833641,-3.9709135318829865,3.011282344697986,False,0.32868898306009325,-3.7690582519347293,4.714814172649514,False
EVAfeel,selfother,0.2665964775917154,0.39868967995522764,-0.12736160218290687,0.6982279918372497,2.637331765179802,1.5779406746445044,3.9938470199099276,5.191399446585282,-9.60540124787557,9.136493154609608,0.7082553901357819,-1.5785981226631456,3.790560926750166,False,0.37163735356587435,-3.1345632127002347,4.358600293099056,False,-0.3366180365699075,-5.110185046094941,4.091197888137431,False
EVAfeel,onoff,0.2665964775917154,0.39868967995522764,-0.12736160218290687,0.6982279918372497,0.31628959637478027,1.0052721227398274,-2.888966150515142,2.608486311739958,-0.7199758600011917,4.535668998807613,0.08884323279267678,-0.8867906304597685,1.271009157177742,False,0.04922415118245052,-1.2571581702818093,1.471891434192307,False,-0.039619081610226266,-1.787262452530449,1.5830507808126595,False
EVAfeel,confidence,0.2665964775917154,0.39868967995522764,-0.12736160218290687,0.6982279918372497,1.2986878426325332,1.1779048959037062,0.44477453221170343,2.7787320169161323,12.103971889452195,4.85376233528224,0.35068032433585733,-0.9796741096679781,2.2582136399805344,False,0.1852900629828127,-1.8118294434899858,2.566987011772959,False,-0.1653902613530446,-3.0035365401265666,2.405188092478273,False
EVAtense,valence,-0.20344042993837064,0.3521744616795386,-0.2002416184880442,0.6132760662886392,2.740201085290867,1.404298228320128,-6.730312600344656,4.26426566735501,-6.468830359259907,7.340042469008084,-0.5563013210161557,-3.165294492664272,1.533629357735672,False,-1.1063575782649853,-4.914016239029803,1.7812842715193593,False,-0.5500562572488294,-4.806024291889144,3.2270320155294727,False
EVAtense,time,-0.20344042993837064,0.3521744616795386,-0.2002416184880442,0.6132760662886392,0.35197181742430994,1.4647760790424502,-4.691547963756799,4.930132588703486,2.244885149468828,8.510579149998915,-0.06840718411856903,-1.530095726740951,1.1588318569656062,False,-0.13847230325836862,-2.424058749361086,1.8255012241999646,False,-0.07006511913979961,-2.3677731621870532,1.99812351831566,False
EVAtense,selfother,-0.20344042993837064,0.3521744616795386,-0.2002416184880442,0.6132760662886392,5.162645427758855,1.2211741898119042,5.2283057492916996,4.879189632800514,-10.802937402378491,8.626031490693952,-1.0514743186478064,-4.996573827083002,2.6027427560417795,False,-2.088454098705174,-7.674515542434684,3.0858793851271287,False,-1.0369797800573681,-7.741023467735852,5.436313806627781,False
EVAtense,onoff,-0.20344042993837064,0.3521744616795386,-0.2002416184880442,0.6132760662886392,2.557037372753892,1.1781425530439154,-2.3076605825104086,2.2664332232821427,-1.380002793006766,3.9581834459793637,-0.5194303428756539,-2.8608960455669075,1.4012122368386504,False,-1.0327796813688706,-4.422201374951475,1.6267830047537053,False,-0.5133493384932168,-4.344749258452607,2.9448607912573066,False
EVAtense,confidence,-0.20344042993837064,0.3521744616795386,-0.2002416184880442,0.6132760662886392,1.1711243678944654,1.2616766573987677,0.8535063879536668,2.802396937514296,12.865647033858417,4.881884319741557,-0.23618560221320486,-1.8798215365989213,0.9270803441692487,False,-0.4709691653375054,-2.9687076686759992,1.208384423207033,False,-0.23478356312430052,-2.8615988486004382,1.9162897623548496,False
EVAhurt,valence,0.06821521460539712,0.41174053122398074,0.9889957345819351,0.731225138573521,1.7905780440881,1.243970230526528,-6.881068814564565,4.437800760254207,-5.833889697901633,7.881067165387285,0.12563113164721576,-1.7470346486318569,2.153531199057509,False,1.901898602661329,-0.853770537606981,6.416968958824108,False,1.7762674710141135,-1.1788664046761084,6.733165736618626,False
EVAhurt,time,0.06821521460539712,0.41174053122398074,0.9889957345819351,0.731225138573521,0.9955845054156888,1.2597443459551576,-4.994057185345168,4.983264284480337,0.6760026486498525,8.811255390253084,0.07225022632101281,-1.3294418795034826,1.6271342939802287,False,1.0630352842567659,-1.7462424653052917,4.976999902924243,False,0.9907850579357531,-1.8878297463170577,5.207104368570404,False
EVAhurt,selfother,0.06821521460539712,0.41174053122398074,0.9889957345819351,0.731225138573521,1.8637258081978616,1.419470869481982,5.091566820638851,4.927473121014478,-8.30947499521894,8.925619742690314,0.13128959655025318,-1.8956837827012791,2.3216814890316226,False,1.9808132144928534,-1.116025343557922,6.9859975452549605,False,1.8495236179426002,-1.446261572544198,7.318931807417174,False
EVAhurt,onoff,0.06821521460539712,0.41174053122398074,0.9889957345819351,0.731225138573521,0.9427309313664205,0.9869542372008294,-2.7710577106848957,2.598490794336949,-2.4828434128064583,4.748309400776718,0.06754551244299321,-1.1242208098111763,1.3743605834496244,False,1.0045873176809592,-1.1785168119472784,4.207958672621367,False,0.937041805237966,-1.278954209322819,4.403390774378433,False
EVAhurt,confidence,0.06821521460539712,0.41174053122398074,0.9889957345819351,0.731225138573521,1.7671289416687324,1.119672704271495,0.7403244299544668,2.7373850500982555,10.911153085817128,5.061640396147739,0.12353002466276307,-1.6731885462549285,2.052696344591756,False,1.875935496503517,-0.6475016287756962,6.060641779791266,False,1.752405471840754,-1.0190381513367734,6.368359777294179,False
